aoi_group_id,aoi_name,shape_id,reference_id,shape_type,x_min,y_min,x_max,y_max,center_x,center_y,radius,participant,trial_id,condition,phase,time_start,time_end,time_start_event,time_end_event,priority,enabled,rel_start_ms,rel_end_ms,ue_time_start_sec,ue_time_end_sec,viewport_width,viewport_height,source_component,projection_valid,is_clamped,time_mode,session_start_world_sec,session_rel_start_ms,session_rel_end_ms,recording_active,recording_start_world_sec,recording_start_unix_ms,recording_file,video_time_start_ms,video_time_end_ms,time_ms,unix_start_ms,unix_end_ms,bjt_start,bjt_end,loading_start_world_sec,experiment_code,aoi_scope,target_content_index,target_display_index,slot_permutation
"b_preview_panel","B条件预览面板","T004_b_preview_panel_0001","video_relative_to_recording_start",rectangle,284,0,1570,402,,,,"A017","T004","B",loading,,,,,1,TRUE,0.000,50.000,1409.656616,1409.706665,1920,1046,"floating_widget_component_bounds_fallback",1,1,"video_relative_to_screen_recording_start",1059.821167,349835.438,349885.500,1,1059.821167,"1781265307261","../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/A017_20260612_195507_screen.mkv",349835.438,349885.500,349860.469,"1781265657096","1781265657146","2026-06-12T20:00:57.096+08:00","2026-06-12T20:00:57.146+08:00",1409.656616,EXP1,"b_preview",-1,-1,
"b_progress_bar","B条件进度条区域","T004_b_progress_bar_0002","video_relative_to_recording_start",rectangle,348,371,1506,392,,,,"A017","T004","B",loading,,,,,1,TRUE,0.000,50.000,1409.656616,1409.706665,1920,1046,"b_preview_relative_progress_bar_fallback",1,0,"video_relative_to_screen_recording_start",1059.821167,349835.438,349885.500,1,1059.821167,"1781265307261","../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/A017_20260612_195507_screen.mkv",349835.438,349885.500,349860.469,"1781265657096","1781265657146","2026-06-12T20:00:57.096+08:00","2026-06-12T20:00:57.146+08:00",1409.656616,EXP1,"b_progress_bar",-1,-1,
"b_preview_panel","B条件预览面板","T004_b_preview_panel_0003","video_relative_to_recording_start",rectangle,287,0,1534,394,,,,"A017","T004","B",loading,,,,,1,TRUE,50.000,100.000,1409.706665,1409.756592,1920,1046,"world_widget_card_size_box_geometry",1,1,"video_relative_to_screen_recording_start",1059.821167,349885.500,349935.438,1,1059.821167,"1781265307261","../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/A017_20260612_195507_screen.mkv",349885.500,349935.438,349910.469,"1781265657146","1781265657196","2026-06-12T20:00:57.146+08:00","2026-06-12T20:00:57.196+08:00",1409.656616,EXP1,"b_preview",-1,-1,
"b_progress_bar","B条件进度条区域","T004_b_progress_bar_0004","video_relative_to_recording_start",rectangle,567,308,1294,340,,,,"A017","T004","B",loading,,,,,1,TRUE,50.000,100.000,1409.706665,1409.756592,1920,1046,"world_widget_loading_progress_bar_geometry",1,0,"video_relative_to_screen_recording_start",1059.821167,349885.500,349935.438,1,1059.821167,"1781265307261","../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/A017_20260612_195507_screen.mkv",349885.500,349935.438,349910.469,"1781265657146","1781265657196","2026-06-12T20:00:57.146+08:00","2026-06-12T20:00:57.196+08:00",1409.656616,EXP1,"b_progress_bar",-1,-1,
"b_preview_panel","B条件预览面板","T004_b_preview_panel_0005","video_relative_to_recording_start",rectangle,287,0,1534,394,,,,"A017","T004","B",loading,,,,,1,TRUE,100.000,150.000,1409.756592,1409.806641,1920,1046,"world_widget_card_size_box_geometry",1,1,"video_relative_to_screen_recording_start",1059.821167,349935.438,349985.469,1,1059.821167,"1781265307261","../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/A017_20260612_195507_screen.mkv",349935.438,349985.469,349960.438,"1781265657196","1781265657246","2026-06-12T20:00:57.196+08:00","2026-06-12T20:00:57.246+08:00",1409.656616,EXP1,"b_preview",-1,-1,
"b_progress_bar","B条件进度条区域","T004_b_progress_bar_0006","video_relative_to_recording_start",rectangle,567,308,1294,340,,,,"A017","T004","B",loading,,,,,1,TRUE,100.000,150.000,1409.756592,1409.806641,1920,1046,"world_widget_loading_progress_bar_geometry",1,0,"video_relative_to_screen_recording_start",1059.821167,349935.438,349985.469,1,1059.821167,"1781265307261","../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/A017_20260612_195507_screen.mkv",349935.438,349985.469,349960.438,"1781265657196","1781265657246","2026-06-12T20:00:57.196+08:00","2026-06-12T20:00:57.246+08:00",1409.656616,EXP1,"b_progress_bar",-1,-1,
"b_preview_panel","B条件预览面板","T004_b_preview_panel_0007","video_relative_to_recording_start",rectangle,287,0,1534,394,,,,"A017","T004","B",loading,,,,,1,TRUE,150.000,200.000,1409.806641,1409.856567,1920,1046,"world_widget_card_size_box_geometry",1,1,"video_relative_to_screen_recording_start",1059.821167,349985.469,350035.406,1,1059.821167,"1781265307261","../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/A017_20260612_195507_screen.mkv",349985.469,350035.406,350010.438,"1781265657246","1781265657296","2026-06-12T20:00:57.246+08:00","2026-06-12T20:00:57.296+08:00",1409.656616,EXP1,"b_preview",-1,-1,
"b_progress_bar","B条件进度条区域","T004_b_progress_bar_0008","video_relative_to_recording_start",rectangle,567,308,1294,340,,,,"A017","T004","B",loading,,,,,1,TRUE,150.000,200.000,1409.806641,1409.856567,1920,1046,"world_widget_loading_progress_bar_geometry",1,0,"video_relative_to_screen_recording_start",1059.821167,349985.469,350035.406,1,1059.821167,"1781265307261","../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/A017_20260612_195507_screen.mkv",349985.469,350035.406,350010.438,"1781265657246","1781265657296","2026-06-12T20:00:57.246+08:00","2026-06-12T20:00:57.296+08:00",1409.656616,EXP1,"b_progress_bar",-1,-1,
"b_preview_panel","B条件预览面板","T004_b_preview_panel_0009","video_relative_to_recording_start",rectangle,287,0,1534,394,,,,"A017","T004","B",loading,,,,,1,TRUE,200.000,250.000,1409.856567,1409.906616,1920,1046,"world_widget_card_size_box_geometry",1,1,"video_relative_to_screen_recording_start",1059.821167,350035.406,350085.438,1,1059.821167,"1781265307261","../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/A017_20260612_195507_screen.mkv",350035.406,350085.438,350060.438,"1781265657296","1781265657346","2026-06-12T20:00:57.296+08:00","2026-06-12T20:00:57.346+08:00",1409.656616,EXP1,"b_preview",-1,-1,
"b_progress_bar","B条件进度条区域","T004_b_progress_bar_0010","video_relative_to_recording_start",rectangle,567,308,1294,340,,,,"A017","T004","B",loading,,,,,1,TRUE,200.000,250.000,1409.856567,1409.906616,1920,1046,"world_widget_loading_progress_bar_geometry",1,0,"video_relative_to_screen_recording_start",1059.821167,350035.406,350085.438,1,1059.821167,"1781265307261","../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/A017_20260612_195507_screen.mkv",350035.406,350085.438,350060.438,"1781265657296","1781265657346","2026-06-12T20:00:57.296+08:00","2026-06-12T20:00:57.346+08:00",1409.656616,EXP1,"b_progress_bar",-1,-1,
