ParticipantID,ParticipantNote,SessionStartTime,SessionStartTimeBJT,SessionStartUnixMs,TrialID,ExhibitID,ExhibitName,LoadingCondition,Experiment,Experiment1LatinGroup,Experiment1SequenceIndex,Experiment1SequenceLabel,LoadingInteractTime,LoadingInteractTimeBJT,LoadingInteractUnixMs,LoadingStartTime,LoadingStartTimeBJT,LoadingStartUnixMs,LoadingCompleteTime,LoadingCompleteTimeBJT,LoadingCompleteUnixMs,ProgressiveUsablePointTime,ProgressiveUsablePointTimeBJT,ProgressiveUsablePointUnixMs,QuestionIndex,TotalQuestions,QuestionText,SelectedOptionIndex,SelectedOptionLabel,SelectedOptionText,CorrectOptionIndex,CorrectOptionLabel,CorrectOptionText,IsCorrect,ViewerEnterTime,ViewerEnterTimeBJT,ViewerEnterUnixMs,QuestionStartTime,QuestionStartTimeBJT,QuestionStartUnixMs,QuestionSubmitTime,QuestionSubmitTimeBJT,QuestionSubmitUnixMs,QuestionDuration,ViewerExitTime,ViewerExitTimeBJT,ViewerExitUnixMs,TrialTotalDuration,ParticipantTotalDuration
"A017","G1G4",1059.821,"2026-06-12T19:55:07.261+08:00",1781265307261,"T001","Ex1_TEST","测试展品","A","EXP1","NA",-1,"NA",1110.755,"2026-06-12T19:55:58.195+08:00",1781265358195,1110.755,"2026-06-12T19:55:58.195+08:00",1781265358195,1112.747,"2026-06-12T19:56:00.187+08:00",1781265360187,-1.000,"",-1,1,2,"这件展品是什么材质？",0,"A","陶器",-1,"NotScored","NotScored",-1,1118.789,"2026-06-12T19:56:06.229+08:00",1781265366229,1118.789,"2026-06-12T19:56:06.229+08:00",1781265366229,1130.432,"2026-06-12T19:56:17.871+08:00",1781265377871,11.642,1148.708,"2026-06-12T19:56:36.148+08:00",1781265396148,29.918,88.887
"A017","G1G4",1059.821,"2026-06-12T19:55:07.261+08:00",1781265307261,"T001","Ex1_TEST","测试展品","A","EXP1","NA",-1,"NA",1110.755,"2026-06-12T19:55:58.195+08:00",1781265358195,1110.755,"2026-06-12T19:55:58.195+08:00",1781265358195,1112.747,"2026-06-12T19:56:00.187+08:00",1781265360187,-1.000,"",-1,2,2,"它表面的纹样更接近？",0,"A","动植物纹样",-1,"NotScored","NotScored",-1,1118.789,"2026-06-12T19:56:06.229+08:00",1781265366229,1130.432,"2026-06-12T19:56:17.871+08:00",1781265377871,1147.477,"2026-06-12T19:56:34.917+08:00",1781265394917,17.045,1148.708,"2026-06-12T19:56:36.148+08:00",1781265396148,29.918,88.887
"A017","G1G4",1059.821,"2026-06-12T19:55:07.261+08:00",1781265307261,"T002","01","半岛香炉","A","EXP1","G1",1,"G1_T01",1201.420,"2026-06-12T19:57:28.860+08:00",1781265448860,1201.420,"2026-06-12T19:57:28.860+08:00",1781265448860,1211.418,"2026-06-12T19:57:38.858+08:00",1781265458858,-1.000,"",-1,1,2,"这件展品是什么材质？",1,"B","金属件",1,"B","金属件",1,1219.452,"2026-06-12T19:57:46.891+08:00",1781265466891,1219.452,"2026-06-12T19:57:46.891+08:00",1781265466891,1222.908,"2026-06-12T19:57:50.348+08:00",1781265470348,3.456,1229.966,"2026-06-12T19:57:57.405+08:00",1781265477405,10.514,170.144
"A017","G1G4",1059.821,"2026-06-12T19:55:07.261+08:00",1781265307261,"T002","01","半岛香炉","A","EXP1","G1",1,"G1_T01",1201.420,"2026-06-12T19:57:28.860+08:00",1781265448860,1201.420,"2026-06-12T19:57:28.860+08:00",1781265448860,1211.418,"2026-06-12T19:57:38.858+08:00",1781265458858,-1.000,"",-1,2,2,"它表面的纹样更接近？",0,"A","动植物纹样",1,"B","几何纹样",0,1219.452,"2026-06-12T19:57:46.891+08:00",1781265466891,1222.908,"2026-06-12T19:57:50.348+08:00",1781265470348,1227.658,"2026-06-12T19:57:55.098+08:00",1781265475098,4.751,1229.966,"2026-06-12T19:57:57.405+08:00",1781265477405,10.514,170.144
"A017","G1G4",1059.821,"2026-06-12T19:55:07.261+08:00",1781265307261,"T003","02","中国青铜器","A_PLUS","EXP1","G1",2,"G1_T02",1316.209,"2026-06-12T19:59:23.649+08:00",1781265563649,1316.209,"2026-06-12T19:59:23.649+08:00",1781265563649,1326.211,"2026-06-12T19:59:33.651+08:00",1781265573651,-1.000,"",-1,1,2,"这件展品是什么材质？",1,"B","金属件",1,"B","金属件",1,1332.069,"2026-06-12T19:59:39.509+08:00",1781265579509,1332.069,"2026-06-12T19:59:39.509+08:00",1781265579509,1335.207,"2026-06-12T19:59:42.646+08:00",1781265582646,3.138,1344.386,"2026-06-12T19:59:51.826+08:00",1781265591826,12.318,284.565
"A017","G1G4",1059.821,"2026-06-12T19:55:07.261+08:00",1781265307261,"T003","02","中国青铜器","A_PLUS","EXP1","G1",2,"G1_T02",1316.209,"2026-06-12T19:59:23.649+08:00",1781265563649,1316.209,"2026-06-12T19:59:23.649+08:00",1781265563649,1326.211,"2026-06-12T19:59:33.651+08:00",1781265573651,-1.000,"",-1,2,2,"它表面的纹样更接近？",1,"B","几何纹样",1,"B","几何纹样",1,1332.069,"2026-06-12T19:59:39.509+08:00",1781265579509,1335.207,"2026-06-12T19:59:42.646+08:00",1781265582646,1342.843,"2026-06-12T19:59:50.283+08:00",1781265590283,7.636,1344.386,"2026-06-12T19:59:51.826+08:00",1781265591826,12.318,284.565
"A017","G1G4",1059.821,"2026-06-12T19:55:07.261+08:00",1781265307261,"T004","03","希腊陶具","B","EXP1","G1",3,"G1_T03",1409.657,"2026-06-12T20:00:57.096+08:00",1781265657096,1409.657,"2026-06-12T20:00:57.096+08:00",1781265657096,1419.646,"2026-06-12T20:01:07.086+08:00",1781265667086,-1.000,"",-1,1,2,"这件展品是什么材质？",0,"A","陶器",0,"A","陶器",1,1424.886,"2026-06-12T20:01:12.326+08:00",1781265672326,1424.886,"2026-06-12T20:01:12.326+08:00",1781265672326,1430.124,"2026-06-12T20:01:17.564+08:00",1781265677564,5.238,1433.663,"2026-06-12T20:01:21.103+08:00",1781265681103,8.777,373.842
"A017","G1G4",1059.821,"2026-06-12T19:55:07.261+08:00",1781265307261,"T004","03","希腊陶具","B","EXP1","G1",3,"G1_T03",1409.657,"2026-06-12T20:00:57.096+08:00",1781265657096,1409.657,"2026-06-12T20:00:57.096+08:00",1781265657096,1419.646,"2026-06-12T20:01:07.086+08:00",1781265667086,-1.000,"",-1,2,2,"它表面的纹样更接近？",2,"C","人物图画",2,"C","人物图画",1,1424.886,"2026-06-12T20:01:12.326+08:00",1781265672326,1430.124,"2026-06-12T20:01:17.564+08:00",1781265677564,1432.515,"2026-06-12T20:01:19.955+08:00",1781265679955,2.391,1433.663,"2026-06-12T20:01:21.103+08:00",1781265681103,8.777,373.842
"A017","G1G4",1059.821,"2026-06-12T19:55:07.261+08:00",1781265307261,"T005","04","中国花瓶","C_MINUS","EXP1","G1",4,"G1_T04",1490.031,"2026-06-12T20:02:17.470+08:00",1781265737470,1490.031,"2026-06-12T20:02:17.470+08:00",1781265737470,1500.025,"2026-06-12T20:02:27.465+08:00",1781265747465,1496.019,"2026-06-12T20:02:23.459+08:00",1781265743459,1,2,"这件展品是什么材质？",2,"C","瓷器",2,"C","瓷器",1,1490.031,"2026-06-12T20:02:17.470+08:00",1781265737470,1496.019,"2026-06-12T20:02:23.459+08:00",1781265743459,1507.760,"2026-06-12T20:02:35.200+08:00",1781265755200,11.742,1511.873,"2026-06-12T20:02:39.313+08:00",1781265759313,21.843,452.052
"A017","G1G4",1059.821,"2026-06-12T19:55:07.261+08:00",1781265307261,"T005","04","中国花瓶","C_MINUS","EXP1","G1",4,"G1_T04",1490.031,"2026-06-12T20:02:17.470+08:00",1781265737470,1490.031,"2026-06-12T20:02:17.470+08:00",1781265737470,1500.025,"2026-06-12T20:02:27.465+08:00",1781265747465,1496.019,"2026-06-12T20:02:23.459+08:00",1781265743459,2,2,"它表面的纹样更接近？",3,"D","动物纹样",3,"D","动物纹样",1,1490.031,"2026-06-12T20:02:17.470+08:00",1781265737470,1507.760,"2026-06-12T20:02:35.200+08:00",1781265755200,1510.115,"2026-06-12T20:02:37.554+08:00",1781265757554,2.354,1511.873,"2026-06-12T20:02:39.313+08:00",1781265759313,21.843,452.052
"A017","G1G4",1059.821,"2026-06-12T19:55:07.261+08:00",1781265307261,"T006","05","雅典双耳罐","C","EXP1","G1",5,"G1_T05",1586.720,"2026-06-12T20:03:54.160+08:00",1781265834160,1586.720,"2026-06-12T20:03:54.160+08:00",1781265834160,1596.713,"2026-06-12T20:04:04.153+08:00",1781265844153,1592.716,"2026-06-12T20:04:00.156+08:00",1781265840156,1,2,"这件展品是什么材质？",1,"B","金属件",0,"A","陶器",0,1586.720,"2026-06-12T20:03:54.160+08:00",1781265834160,1592.716,"2026-06-12T20:04:00.156+08:00",1781265840156,1598.889,"2026-06-12T20:04:06.329+08:00",1781265846329,6.173,1604.126,"2026-06-12T20:04:11.566+08:00",1781265851566,17.406,544.305
"A017","G1G4",1059.821,"2026-06-12T19:55:07.261+08:00",1781265307261,"T006","05","雅典双耳罐","C","EXP1","G1",5,"G1_T05",1586.720,"2026-06-12T20:03:54.160+08:00",1781265834160,1586.720,"2026-06-12T20:03:54.160+08:00",1781265834160,1596.713,"2026-06-12T20:04:04.153+08:00",1781265844153,1592.716,"2026-06-12T20:04:00.156+08:00",1781265840156,2,2,"它表面的纹样更接近？",2,"C","人物图画",2,"C","人物图画",1,1586.720,"2026-06-12T20:03:54.160+08:00",1781265834160,1598.889,"2026-06-12T20:04:06.329+08:00",1781265846329,1601.489,"2026-06-12T20:04:08.929+08:00",1781265848929,2.600,1604.126,"2026-06-12T20:04:11.566+08:00",1781265851566,17.406,544.305
