ParticipantID,ParticipantNote,Experiment,TrialID,Event,EventTime,EventTimeBJT,EventUnixMs,Condition,SpatialContinuity,ProgressiveAvailability,SequenceGroup,SequenceIndex,TargetIndex,TargetLabel,TargetContentIndex,TargetDisplayIndex,SlotPermutation,Stage,ObjectStages,Progress,TrialStartTime,TrialStartTimeBJT,TrialStartUnixMs,LoadingCompleteTime,LoadingCompleteTimeBJT,LoadingCompleteUnixMs,Stage1StartTime,Stage1StartTimeBJT,Stage1StartUnixMs,Stage2StartTime,Stage2StartTimeBJT,Stage2StartUnixMs,Stage3StartTime,Stage3StartTimeBJT,Stage3StartUnixMs,ProgressiveUsableTime,ProgressiveUsableTimeBJT,ProgressiveUsableUnixMs,ObjectStageChangeTime,ObjectStageChangeTimeBJT,ObjectStageChangeUnixMs,ObjectStageChangeObjectIndex,ObjectStagePreviousStage,ObjectStageNewStage,PreJudgeTime,PreJudgeTimeBJT,PreJudgeUnixMs,PreJudgeIndex,PreJudgeLabel,PreJudgeContentIndex,PreJudgeCorrect,PreJudgeConfidence,PendingSelectionTime,PendingSelectionTimeBJT,PendingSelectionUnixMs,PendingSelectionIndex,PendingSelectionLabel,PendingSelectionContentIndex,PendingSelectionChangeCount,SubmitTime,SubmitTimeBJT,SubmitUnixMs,SubmitSelectionIndex,SubmitSelectionLabel,SubmitSelectionContentIndex,SubmitCorrect
"A004","G4G4","exp02","Exp2_001","trial_start",973.256592,"2026-06-12T10:54:38.448+08:00","1781232878448","E4_FIXED_NONPROGRESSIVE",0,0,4,1,4,"左脸",1,4,"1:2|2:3|3:4|4:1",0,"1:0|2:0|3:0|4:0",0.000000,973.256592,"2026-06-12T10:54:38.448+08:00","1781232878448",,"","",,"","",,"","",,"","",,"","",,"","",,,,,"","",,"",,,,,"","",,"",,,,"","",,"",,
"A004","G4G4","exp02","Exp2_001","object_stage_changed",985.245483,"2026-06-12T10:54:50.437+08:00","1781232890437","E4_FIXED_NONPROGRESSIVE",0,0,4,1,4,"左脸",1,4,"1:2|2:3|3:4|4:1",3,"1:3|2:0|3:0|4:0",1.000000,973.256592,"2026-06-12T10:54:38.448+08:00","1781232878448",985.245483,"2026-06-12T10:54:50.437+08:00","1781232890437",,"","",,"","",,"","",,"","",985.245483,"2026-06-12T10:54:50.437+08:00","1781232890437",1,0,3,,"","",,"",,,,,"","",,"",,,,"","",,"",,
"A004","G4G4","exp02","Exp2_001","stage_3_start",985.245483,"2026-06-12T10:54:50.437+08:00","1781232890437","E4_FIXED_NONPROGRESSIVE",0,0,4,1,4,"左脸",1,4,"1:2|2:3|3:4|4:1",3,"1:3|2:0|3:0|4:0",1.000000,973.256592,"2026-06-12T10:54:38.448+08:00","1781232878448",985.245483,"2026-06-12T10:54:50.437+08:00","1781232890437",,"","",,"","",985.245483,"2026-06-12T10:54:50.437+08:00","1781232890437",,"","",985.245483,"2026-06-12T10:54:50.437+08:00","1781232890437",1,0,3,,"","",,"",,,,,"","",,"",,,,"","",,"",,
"A004","G4G4","exp02","Exp2_001","object_stage_changed",985.245483,"2026-06-12T10:54:50.437+08:00","1781232890437","E4_FIXED_NONPROGRESSIVE",0,0,4,1,4,"左脸",1,4,"1:2|2:3|3:4|4:1",3,"1:3|2:3|3:0|4:0",1.000000,973.256592,"2026-06-12T10:54:38.448+08:00","1781232878448",985.245483,"2026-06-12T10:54:50.437+08:00","1781232890437",,"","",,"","",985.245483,"2026-06-12T10:54:50.437+08:00","1781232890437",,"","",985.245483,"2026-06-12T10:54:50.437+08:00","1781232890437",2,0,3,,"","",,"",,,,,"","",,"",,,,"","",,"",,
"A004","G4G4","exp02","Exp2_001","object_stage_changed",985.245483,"2026-06-12T10:54:50.437+08:00","1781232890437","E4_FIXED_NONPROGRESSIVE",0,0,4,1,4,"左脸",1,4,"1:2|2:3|3:4|4:1",3,"1:3|2:3|3:3|4:0",1.000000,973.256592,"2026-06-12T10:54:38.448+08:00","1781232878448",985.245483,"2026-06-12T10:54:50.437+08:00","1781232890437",,"","",,"","",985.245483,"2026-06-12T10:54:50.437+08:00","1781232890437",,"","",985.245483,"2026-06-12T10:54:50.437+08:00","1781232890437",3,0,3,,"","",,"",,,,,"","",,"",,,,"","",,"",,
"A004","G4G4","exp02","Exp2_001","object_stage_changed",985.245483,"2026-06-12T10:54:50.437+08:00","1781232890437","E4_FIXED_NONPROGRESSIVE",0,0,4,1,4,"左脸",1,4,"1:2|2:3|3:4|4:1",3,"1:3|2:3|3:3|4:3",1.000000,973.256592,"2026-06-12T10:54:38.448+08:00","1781232878448",985.245483,"2026-06-12T10:54:50.437+08:00","1781232890437",,"","",,"","",985.245483,"2026-06-12T10:54:50.437+08:00","1781232890437",,"","",985.245483,"2026-06-12T10:54:50.437+08:00","1781232890437",4,0,3,,"","",,"",,,,,"","",,"",,,,"","",,"",,
"A004","G4G4","exp02","Exp2_001","loading_complete",985.245483,"2026-06-12T10:54:50.437+08:00","1781232890437","E4_FIXED_NONPROGRESSIVE",0,0,4,1,4,"左脸",1,4,"1:2|2:3|3:4|4:1",3,"1:3|2:3|3:3|4:3",1.000000,973.256592,"2026-06-12T10:54:38.448+08:00","1781232878448",985.245483,"2026-06-12T10:54:50.437+08:00","1781232890437",,"","",,"","",985.245483,"2026-06-12T10:54:50.437+08:00","1781232890437",,"","",985.245483,"2026-06-12T10:54:50.437+08:00","1781232890437",4,0,3,,"","",,"",,,,,"","",,"",,,,"","",,"",,
"A004","G4G4","exp02","Exp2_001","pending_selection",996.281860,"2026-06-12T10:55:01.473+08:00","1781232901474","E4_FIXED_NONPROGRESSIVE",0,0,4,1,4,"左脸",1,4,"1:2|2:3|3:4|4:1",3,"1:3|2:3|3:3|4:3",1.000000,973.256592,"2026-06-12T10:54:38.448+08:00","1781232878448",985.245483,"2026-06-12T10:54:50.437+08:00","1781232890437",,"","",,"","",985.245483,"2026-06-12T10:54:50.437+08:00","1781232890437",,"","",985.245483,"2026-06-12T10:54:50.437+08:00","1781232890437",4,0,3,,"","",,"",,,,996.281860,"2026-06-12T10:55:01.473+08:00","1781232901474",4,"左脸",1,1,,"","",,"",,
"A004","G4G4","exp02","Exp2_001","submit_selection",1006.358459,"2026-06-12T10:55:11.550+08:00","1781232911550","E4_FIXED_NONPROGRESSIVE",0,0,4,1,4,"左脸",1,4,"1:2|2:3|3:4|4:1",3,"1:3|2:3|3:3|4:3",1.000000,973.256592,"2026-06-12T10:54:38.448+08:00","1781232878448",985.245483,"2026-06-12T10:54:50.437+08:00","1781232890437",,"","",,"","",985.245483,"2026-06-12T10:54:50.437+08:00","1781232890437",,"","",985.245483,"2026-06-12T10:54:50.437+08:00","1781232890437",4,0,3,,"","",,"",,,,996.281860,"2026-06-12T10:55:01.473+08:00","1781232901474",4,"左脸",1,1,1006.358459,"2026-06-12T10:55:11.550+08:00","1781232911550",4,"左脸",1,1
"A004","G4G4","exp02","Exp2_002","trial_start",1080.803833,"2026-06-12T10:56:25.995+08:00","1781232985996","E1_SPATIAL_PROGRESSIVE",1,1,4,2,2,"脖子",3,2,"1:4|2:3|3:1|4:2",0,"1:0|2:0|3:0|4:0",0.000000,1080.803833,"2026-06-12T10:56:25.995+08:00","1781232985996",,"","",,"","",,"","",,"","",,"","",,"","",,,,,"","",,"",,,,,"","",,"",,,,"","",,"",,
"A004","G4G4","exp02","Exp2_002","object_stage_changed",1084.795288,"2026-06-12T10:56:29.987+08:00","1781232989987","E1_SPATIAL_PROGRESSIVE",1,1,4,2,2,"脖子",3,2,"1:4|2:3|3:1|4:2",0,"1:1|2:0|3:0|4:0",0.334042,1080.803833,"2026-06-12T10:56:25.995+08:00","1781232985996",,"","",,"","",,"","",,"","",,"","",1084.795288,"2026-06-12T10:56:29.987+08:00","1781232989987",1,0,1,,"","",,"",,,,,"","",,"",,,,"","",,"",,
"A004","G4G4","exp02","Exp2_002","stage_1_start",1084.795288,"2026-06-12T10:56:29.987+08:00","1781232989987","E1_SPATIAL_PROGRESSIVE",1,1,4,2,2,"脖子",3,2,"1:4|2:3|3:1|4:2",0,"1:1|2:0|3:0|4:0",0.334042,1080.803833,"2026-06-12T10:56:25.995+08:00","1781232985996",,"","",1084.795288,"2026-06-12T10:56:29.987+08:00","1781232989987",,"","",,"","",,"","",1084.795288,"2026-06-12T10:56:29.987+08:00","1781232989987",1,0,1,,"","",,"",,,,,"","",,"",,,,"","",,"",,
"A004","G4G4","exp02","Exp2_002","object_stage_changed",1084.795288,"2026-06-12T10:56:29.987+08:00","1781232989987","E1_SPATIAL_PROGRESSIVE",1,1,4,2,2,"脖子",3,2,"1:4|2:3|3:1|4:2",0,"1:1|2:1|3:0|4:0",0.334042,1080.803833,"2026-06-12T10:56:25.995+08:00","1781232985996",,"","",1084.795288,"2026-06-12T10:56:29.987+08:00","1781232989987",,"","",,"","",,"","",1084.795288,"2026-06-12T10:56:29.987+08:00","1781232989987",2,0,1,,"","",,"",,,,,"","",,"",,,,"","",,"",,
"A004","G4G4","exp02","Exp2_002","object_stage_changed",1084.795288,"2026-06-12T10:56:29.987+08:00","1781232989987","E1_SPATIAL_PROGRESSIVE",1,1,4,2,2,"脖子",3,2,"1:4|2:3|3:1|4:2",0,"1:1|2:1|3:1|4:0",0.334042,1080.803833,"2026-06-12T10:56:25.995+08:00","1781232985996",,"","",1084.795288,"2026-06-12T10:56:29.987+08:00","1781232989987",,"","",,"","",,"","",1084.795288,"2026-06-12T10:56:29.987+08:00","1781232989987",3,0,1,,"","",,"",,,,,"","",,"",,,,"","",,"",,
"A004","G4G4","exp02","Exp2_002","object_stage_changed",1084.795288,"2026-06-12T10:56:29.987+08:00","1781232989987","E1_SPATIAL_PROGRESSIVE",1,1,4,2,2,"脖子",3,2,"1:4|2:3|3:1|4:2",0,"1:1|2:1|3:1|4:1",0.334042,1080.803833,"2026-06-12T10:56:25.995+08:00","1781232985996",,"","",1084.795288,"2026-06-12T10:56:29.987+08:00","1781232989987",,"","",,"","",,"","",1084.795288,"2026-06-12T10:56:29.987+08:00","1781232989987",4,0,1,,"","",,"",,,,,"","",,"",,,,"","",,"",,
"A004","G4G4","exp02","Exp2_002","object_stage_changed",1086.788330,"2026-06-12T10:56:31.980+08:00","1781232991980","E1_SPATIAL_PROGRESSIVE",1,1,4,2,2,"脖子",3,2,"1:4|2:3|3:1|4:2",1,"1:2|2:1|3:1|4:1",0.500131,1080.803833,"2026-06-12T10:56:25.995+08:00","1781232985996",,"","",1084.795288,"2026-06-12T10:56:29.987+08:00","1781232989987",,"","",,"","",,"","",1086.788330,"2026-06-12T10:56:31.980+08:00","1781232991980",1,1,2,,"","",,"",,,,,"","",,"",,,,"","",,"",,
"A004","G4G4","exp02","Exp2_002","stage_2_start",1086.788330,"2026-06-12T10:56:31.980+08:00","1781232991980","E1_SPATIAL_PROGRESSIVE",1,1,4,2,2,"脖子",3,2,"1:4|2:3|3:1|4:2",1,"1:2|2:1|3:1|4:1",0.500131,1080.803833,"2026-06-12T10:56:25.995+08:00","1781232985996",,"","",1084.795288,"2026-06-12T10:56:29.987+08:00","1781232989987",1086.788330,"2026-06-12T10:56:31.980+08:00","1781232991980",,"","",,"","",1086.788330,"2026-06-12T10:56:31.980+08:00","1781232991980",1,1,2,,"","",,"",,,,,"","",,"",,,,"","",,"",,
