aoi_group_id,aoi_name,shape_id,reference_id,shape_type,x_min,y_min,x_max,y_max,center_x,center_y,radius,participant,trial_id,condition,phase,time_start,time_end,time_start_event,time_end_event,priority,enabled,rel_start_ms,rel_end_ms,ue_time_start_sec,ue_time_end_sec,viewport_width,viewport_height,source_component,projection_valid,is_clamped,time_mode,session_start_world_sec,session_rel_start_ms,session_rel_end_ms,recording_active,recording_start_world_sec,recording_start_unix_ms,recording_file,video_time_start_ms,video_time_end_ms,time_ms,unix_start_ms,unix_end_ms,bjt_start,bjt_end,loading_start_world_sec,experiment_code,aoi_scope,target_content_index,target_display_index,slot_permutation
"b_preview_panel","B条件预览面板","T006_b_preview_panel_0001","video_relative_to_recording_start",rectangle,375,0,1296,489,,,,"A011","T006","B",loading,,,,,1,TRUE,0.000,50.000,572.387390,572.437378,1920,1046,"world_widget_card_size_box_geometry",1,1,"video_relative_to_screen_recording_start",99.278412,473108.969,473158.969,1,99.278412,"1781247321729","../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/A011_20260612_145521_screen.mkv",473108.969,473158.969,473133.969,"1781247794837","1781247794887","2026-06-12T15:03:14.836+08:00","2026-06-12T15:03:14.886+08:00",572.387390,EXP1,"b_preview",-1,-1,
"b_progress_bar","B条件进度条区域","T006_b_progress_bar_0002","video_relative_to_recording_start",rectangle,545,406,1190,440,,,,"A011","T006","B",loading,,,,,1,TRUE,0.000,50.000,572.387390,572.437378,1920,1046,"world_widget_loading_progress_bar_geometry",1,0,"video_relative_to_screen_recording_start",99.278412,473108.969,473158.969,1,99.278412,"1781247321729","../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/A011_20260612_145521_screen.mkv",473108.969,473158.969,473133.969,"1781247794837","1781247794887","2026-06-12T15:03:14.836+08:00","2026-06-12T15:03:14.886+08:00",572.387390,EXP1,"b_progress_bar",-1,-1,
"b_preview_panel","B条件预览面板","T006_b_preview_panel_0003","video_relative_to_recording_start",rectangle,375,0,1296,489,,,,"A011","T006","B",loading,,,,,1,TRUE,50.000,100.000,572.437378,572.487366,1920,1046,"world_widget_card_size_box_geometry",1,1,"video_relative_to_screen_recording_start",99.278412,473158.969,473208.969,1,99.278412,"1781247321729","../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/A011_20260612_145521_screen.mkv",473158.969,473208.969,473183.969,"1781247794887","1781247794937","2026-06-12T15:03:14.886+08:00","2026-06-12T15:03:14.936+08:00",572.387390,EXP1,"b_preview",-1,-1,
"b_progress_bar","B条件进度条区域","T006_b_progress_bar_0004","video_relative_to_recording_start",rectangle,545,406,1190,440,,,,"A011","T006","B",loading,,,,,1,TRUE,50.000,100.000,572.437378,572.487366,1920,1046,"world_widget_loading_progress_bar_geometry",1,0,"video_relative_to_screen_recording_start",99.278412,473158.969,473208.969,1,99.278412,"1781247321729","../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/A011_20260612_145521_screen.mkv",473158.969,473208.969,473183.969,"1781247794887","1781247794937","2026-06-12T15:03:14.886+08:00","2026-06-12T15:03:14.936+08:00",572.387390,EXP1,"b_progress_bar",-1,-1,
"b_preview_panel","B条件预览面板","T006_b_preview_panel_0005","video_relative_to_recording_start",rectangle,369,0,1299,480,,,,"A011","T006","B",loading,,,,,1,TRUE,100.000,150.000,572.487366,572.537415,1920,1046,"world_widget_card_size_box_geometry",1,1,"video_relative_to_screen_recording_start",99.278412,473208.969,473259.000,1,99.278412,"1781247321729","../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/A011_20260612_145521_screen.mkv",473208.969,473259.000,473234.000,"1781247794937","1781247794987","2026-06-12T15:03:14.936+08:00","2026-06-12T15:03:14.987+08:00",572.387390,EXP1,"b_preview",-1,-1,
"b_progress_bar","B条件进度条区域","T006_b_progress_bar_0006","video_relative_to_recording_start",rectangle,545,397,1190,430,,,,"A011","T006","B",loading,,,,,1,TRUE,100.000,150.000,572.487366,572.537415,1920,1046,"world_widget_loading_progress_bar_geometry",1,0,"video_relative_to_screen_recording_start",99.278412,473208.969,473259.000,1,99.278412,"1781247321729","../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/A011_20260612_145521_screen.mkv",473208.969,473259.000,473234.000,"1781247794937","1781247794987","2026-06-12T15:03:14.936+08:00","2026-06-12T15:03:14.987+08:00",572.387390,EXP1,"b_progress_bar",-1,-1,
"b_preview_panel","B条件预览面板","T006_b_preview_panel_0007","video_relative_to_recording_start",rectangle,334,0,1294,455,,,,"A011","T006","B",loading,,,,,1,TRUE,150.000,200.000,572.537415,572.587402,1920,1046,"world_widget_card_size_box_geometry",1,1,"video_relative_to_screen_recording_start",99.278412,473259.000,473309.000,1,99.278412,"1781247321729","../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/A011_20260612_145521_screen.mkv",473259.000,473309.000,473284.000,"1781247794987","1781247795037","2026-06-12T15:03:14.987+08:00","2026-06-12T15:03:15.036+08:00",572.387390,EXP1,"b_preview",-1,-1,
"b_progress_bar","B条件进度条区域","T006_b_progress_bar_0008","video_relative_to_recording_start",rectangle,532,370,1180,405,,,,"A011","T006","B",loading,,,,,1,TRUE,150.000,200.000,572.537415,572.587402,1920,1046,"world_widget_loading_progress_bar_geometry",1,0,"video_relative_to_screen_recording_start",99.278412,473259.000,473309.000,1,99.278412,"1781247321729","../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/A011_20260612_145521_screen.mkv",473259.000,473309.000,473284.000,"1781247794987","1781247795037","2026-06-12T15:03:14.987+08:00","2026-06-12T15:03:15.036+08:00",572.387390,EXP1,"b_progress_bar",-1,-1,
"b_preview_panel","B条件预览面板","T006_b_preview_panel_0009","video_relative_to_recording_start",rectangle,310,0,1286,444,,,,"A011","T006","B",loading,,,,,1,TRUE,200.000,250.000,572.587402,572.637390,1920,1046,"world_widget_card_size_box_geometry",1,1,"video_relative_to_screen_recording_start",99.278412,473309.000,473358.969,1,99.278412,"1781247321729","../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/A011_20260612_145521_screen.mkv",473309.000,473358.969,473334.000,"1781247795037","1781247795087","2026-06-12T15:03:15.036+08:00","2026-06-12T15:03:15.087+08:00",572.387390,EXP1,"b_preview",-1,-1,
"b_progress_bar","B条件进度条区域","T006_b_progress_bar_0010","video_relative_to_recording_start",rectangle,521,358,1171,394,,,,"A011","T006","B",loading,,,,,1,TRUE,200.000,250.000,572.587402,572.637390,1920,1046,"world_widget_loading_progress_bar_geometry",1,0,"video_relative_to_screen_recording_start",99.278412,473309.000,473358.969,1,99.278412,"1781247321729","../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/A011_20260612_145521_screen.mkv",473309.000,473358.969,473334.000,"1781247795037","1781247795087","2026-06-12T15:03:15.036+08:00","2026-06-12T15:03:15.087+08:00",572.387390,EXP1,"b_progress_bar",-1,-1,
