event,participant,success,unix_ms,bjt,extra
"recording_start","P001",1,1780396435235,"2026-06-02T18:33:55.235+08:00","pid=5180 file=../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/P001_20260602_183354_screen.mkv ffmpeg=D:\Tools\ffmpeg\bin\ffmpeg.exe"
"recording_stop","NA",1,1780396443907,"2026-06-02T18:34:03.907+08:00","was_running=1 file=../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/P001_20260602_183354_screen.mkv"
"recording_start","P001",1,1780397022396,"2026-06-02T18:43:42.396+08:00","pid=25924 file=../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/P001_20260602_184342_screen.mkv ffmpeg=D:\Tools\ffmpeg\bin\ffmpeg.exe"
"recording_stop","NA",1,1780397029208,"2026-06-02T18:43:49.208+08:00","was_running=0 file=../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/P001_20260602_184342_screen.mkv"
"recording_start","P001",1,1780397083126,"2026-06-02T18:44:43.126+08:00","pid=31960 file=../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/P001_20260602_184443_screen.mkv ffmpeg=D:\Tools\ffmpeg\bin\ffmpeg.exe"
"recording_stop","NA",1,1780397100354,"2026-06-02T18:45:00.354+08:00","was_running=0 file=../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/P001_20260602_184443_screen.mkv"
"recording_start","P001",1,1780398180898,"2026-06-02T19:03:00.898+08:00","pid=34092 file=../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/P001_20260602_190300_screen.mkv ffmpeg=D:\Tools\ffmpeg\bin\ffmpeg.exe args=-y -f gdigrab -framerate 10 -draw_mouse 0 -i title=""Gallery 预览 [NetMode: Standalone 0]  （64-bit/PC D3D SM6）"" -vf scale=1280:-2 -c:v libx264 -preset ultrafast -crf 34 -pix_fmt yuv420p ""../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/P001_20260602_190300_screen.mkv"" mode=window_title title=Gallery 预览 [NetMode: Standalone 0]  （64-bit/PC D3D SM6）"
"recording_stop","NA",1,1780398188619,"2026-06-02T19:03:08.619+08:00","was_running=1 file=../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/P001_20260602_190300_screen.mkv size_bytes=86623"
"recording_start","P001",1,1780398255468,"2026-06-02T19:04:15.468+08:00","pid=29836 file=../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/P001_20260602_190415_screen.mkv ffmpeg=D:\Tools\ffmpeg\bin\ffmpeg.exe args=-y -f gdigrab -framerate 10 -draw_mouse 0 -i title=""Gallery 预览 [NetMode: Standalone 0]  （64-bit/PC D3D SM6）"" -vf scale=1280:-2 -c:v libx264 -preset ultrafast -crf 34 -pix_fmt yuv420p ""../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/P001_20260602_190415_screen.mkv"" mode=window_title title=Gallery 预览 [NetMode: Standalone 0]  （64-bit/PC D3D SM6）"
"recording_stop","NA",0,1780398265710,"2026-06-02T19:04:25.710+08:00","was_running=1 file=../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/P001_20260602_190415_screen.mkv size_bytes=0"
"recording_start","P001",1,1780398282347,"2026-06-02T19:04:42.347+08:00","pid=11640 file=../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/P001_20260602_190442_screen.mkv ffmpeg=D:\Tools\ffmpeg\bin\ffmpeg.exe args=-y -f gdigrab -framerate 10 -draw_mouse 0 -i title=""Gallery 预览 [NetMode: Standalone 0]  （64-bit/PC D3D SM6）"" -vf scale=1280:-2 -c:v libx264 -preset ultrafast -crf 34 -pix_fmt yuv420p ""../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/P001_20260602_190442_screen.mkv"" mode=window_title title=Gallery 预览 [NetMode: Standalone 0]  （64-bit/PC D3D SM6）"
"recording_stop","NA",0,1780398306734,"2026-06-02T19:05:06.734+08:00","was_running=1 file=../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/P001_20260602_190442_screen.mkv size_bytes=0"
"recording_start","P001",1,1780399456674,"2026-06-02T19:24:16.674+08:00","pid=15888 file=../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/P001_20260602_192416_screen.mkv ffmpeg=D:\Tools\ffmpeg\bin\ffmpeg.exe args=-y -f gdigrab -framerate 10 -draw_mouse 0 -offset_x 3456 -offset_y 0 -video_size 1920x1032 -i desktop -vf scale=1280:-2 -c:v libx264 -preset ultrafast -crf 34 -pix_fmt yuv420p ""../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/P001_20260602_192416_screen.mkv"" mode=window_title title=Gallery 预览 [NetMode: Standalone 0]  （64-bit/PC D3D SM6）"
"recording_stop","NA",1,1780399474877,"2026-06-02T19:24:34.877+08:00","was_running=1 file=../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/P001_20260602_192416_screen.mkv size_bytes=786432"
