aoi_group_id,aoi_name,shape_id,reference_id,shape_type,x_min,y_min,x_max,y_max,center_x,center_y,radius,participant,trial_id,condition,phase,time_start,time_end,time_start_event,time_end_event,priority,enabled,rel_start_ms,rel_end_ms,ue_time_start_sec,ue_time_end_sec,viewport_width,viewport_height,source_component,projection_valid,is_clamped,time_mode,session_start_world_sec,session_rel_start_ms,session_rel_end_ms,recording_active,recording_start_world_sec,recording_start_unix_ms,recording_file,video_time_start_ms,video_time_end_ms,time_ms,unix_start_ms,unix_end_ms,bjt_start,bjt_end,loading_start_world_sec,experiment_code,aoi_scope,target_content_index,target_display_index,slot_permutation
"exp2_table_objects","实验二桌面四模型总体区域","Exp2_002_exp2_table_objects_0001","video_relative_to_recording_start",rectangle,0,284,1919,1045,,,,"A017_2","Exp2_002","E1_SPATIAL_PROGRESSIVE",loading,,,,,1,TRUE,0.000,50.000,353.671143,353.721130,1920,1046,"ObjectSlot1-4",1,1,"video_relative_to_screen_recording_start",36.078785,317592.344,317642.344,1,36.078785,"1781266396475","../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/A017_2_20260612_201316_screen.mkv",317592.344,317642.344,317617.344,"1781266714066","1781266714116","2026-06-12T20:18:34.066+08:00","2026-06-12T20:18:34.116+08:00",353.671143,EXP2,"exp2_table",3,2,"1:4|2:3|3:1|4:2"
"exp2_target_object","实验二当前目标模型_脖子","Exp2_002_exp2_target_object_0002","video_relative_to_recording_start",rectangle,337,319,827,844,,,,"A017_2","Exp2_002","E1_SPATIAL_PROGRESSIVE",loading,,,,,1,TRUE,0.000,50.000,353.671143,353.721130,1920,1046,"ObjectSlot2",1,0,"video_relative_to_screen_recording_start",36.078785,317592.344,317642.344,1,36.078785,"1781266396475","../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/A017_2_20260612_201316_screen.mkv",317592.344,317642.344,317617.344,"1781266714066","1781266714116","2026-06-12T20:18:34.066+08:00","2026-06-12T20:18:34.116+08:00",353.671143,EXP2,"exp2_target",3,2,"1:4|2:3|3:1|4:2"
"exp2_table_objects","实验二桌面四模型总体区域","Exp2_002_exp2_table_objects_0003","video_relative_to_recording_start",rectangle,0,284,1919,1045,,,,"A017_2","Exp2_002","E1_SPATIAL_PROGRESSIVE",loading,,,,,1,TRUE,50.000,100.000,353.721130,353.771149,1920,1046,"ObjectSlot1-4",1,1,"video_relative_to_screen_recording_start",36.078785,317642.344,317692.344,1,36.078785,"1781266396475","../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/A017_2_20260612_201316_screen.mkv",317642.344,317692.344,317667.344,"1781266714116","1781266714166","2026-06-12T20:18:34.116+08:00","2026-06-12T20:18:34.166+08:00",353.671143,EXP2,"exp2_table",3,2,"1:4|2:3|3:1|4:2"
"exp2_target_object","实验二当前目标模型_脖子","Exp2_002_exp2_target_object_0004","video_relative_to_recording_start",rectangle,337,319,827,844,,,,"A017_2","Exp2_002","E1_SPATIAL_PROGRESSIVE",loading,,,,,1,TRUE,50.000,100.000,353.721130,353.771149,1920,1046,"ObjectSlot2",1,0,"video_relative_to_screen_recording_start",36.078785,317642.344,317692.344,1,36.078785,"1781266396475","../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/A017_2_20260612_201316_screen.mkv",317642.344,317692.344,317667.344,"1781266714116","1781266714166","2026-06-12T20:18:34.116+08:00","2026-06-12T20:18:34.166+08:00",353.671143,EXP2,"exp2_target",3,2,"1:4|2:3|3:1|4:2"
"exp2_table_objects","实验二桌面四模型总体区域","Exp2_002_exp2_table_objects_0005","video_relative_to_recording_start",rectangle,0,284,1919,1045,,,,"A017_2","Exp2_002","E1_SPATIAL_PROGRESSIVE",loading,,,,,1,TRUE,100.000,150.000,353.771149,353.821136,1920,1046,"ObjectSlot1-4",1,1,"video_relative_to_screen_recording_start",36.078785,317692.344,317742.344,1,36.078785,"1781266396475","../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/A017_2_20260612_201316_screen.mkv",317692.344,317742.344,317717.344,"1781266714166","1781266714216","2026-06-12T20:18:34.166+08:00","2026-06-12T20:18:34.216+08:00",353.671143,EXP2,"exp2_table",3,2,"1:4|2:3|3:1|4:2"
"exp2_target_object","实验二当前目标模型_脖子","Exp2_002_exp2_target_object_0006","video_relative_to_recording_start",rectangle,337,319,827,844,,,,"A017_2","Exp2_002","E1_SPATIAL_PROGRESSIVE",loading,,,,,1,TRUE,100.000,150.000,353.771149,353.821136,1920,1046,"ObjectSlot2",1,0,"video_relative_to_screen_recording_start",36.078785,317692.344,317742.344,1,36.078785,"1781266396475","../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/A017_2_20260612_201316_screen.mkv",317692.344,317742.344,317717.344,"1781266714166","1781266714216","2026-06-12T20:18:34.166+08:00","2026-06-12T20:18:34.216+08:00",353.671143,EXP2,"exp2_target",3,2,"1:4|2:3|3:1|4:2"
"exp2_table_objects","实验二桌面四模型总体区域","Exp2_002_exp2_table_objects_0007","video_relative_to_recording_start",rectangle,0,284,1919,1045,,,,"A017_2","Exp2_002","E1_SPATIAL_PROGRESSIVE",loading,,,,,1,TRUE,150.000,200.000,353.821136,353.871155,1920,1046,"ObjectSlot1-4",1,1,"video_relative_to_screen_recording_start",36.078785,317742.344,317792.344,1,36.078785,"1781266396475","../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/A017_2_20260612_201316_screen.mkv",317742.344,317792.344,317767.344,"1781266714216","1781266714266","2026-06-12T20:18:34.216+08:00","2026-06-12T20:18:34.266+08:00",353.671143,EXP2,"exp2_table",3,2,"1:4|2:3|3:1|4:2"
"exp2_target_object","实验二当前目标模型_脖子","Exp2_002_exp2_target_object_0008","video_relative_to_recording_start",rectangle,337,319,827,844,,,,"A017_2","Exp2_002","E1_SPATIAL_PROGRESSIVE",loading,,,,,1,TRUE,150.000,200.000,353.821136,353.871155,1920,1046,"ObjectSlot2",1,0,"video_relative_to_screen_recording_start",36.078785,317742.344,317792.344,1,36.078785,"1781266396475","../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/A017_2_20260612_201316_screen.mkv",317742.344,317792.344,317767.344,"1781266714216","1781266714266","2026-06-12T20:18:34.216+08:00","2026-06-12T20:18:34.266+08:00",353.671143,EXP2,"exp2_target",3,2,"1:4|2:3|3:1|4:2"
"exp2_table_objects","实验二桌面四模型总体区域","Exp2_002_exp2_table_objects_0009","video_relative_to_recording_start",rectangle,0,284,1919,1045,,,,"A017_2","Exp2_002","E1_SPATIAL_PROGRESSIVE",loading,,,,,1,TRUE,200.000,250.000,353.871155,353.921143,1920,1046,"ObjectSlot1-4",1,1,"video_relative_to_screen_recording_start",36.078785,317792.344,317842.344,1,36.078785,"1781266396475","../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/A017_2_20260612_201316_screen.mkv",317792.344,317842.344,317817.344,"1781266714266","1781266714316","2026-06-12T20:18:34.266+08:00","2026-06-12T20:18:34.316+08:00",353.671143,EXP2,"exp2_table",3,2,"1:4|2:3|3:1|4:2"
"exp2_target_object","实验二当前目标模型_脖子","Exp2_002_exp2_target_object_0010","video_relative_to_recording_start",rectangle,337,319,827,844,,,,"A017_2","Exp2_002","E1_SPATIAL_PROGRESSIVE",loading,,,,,1,TRUE,200.000,250.000,353.871155,353.921143,1920,1046,"ObjectSlot2",1,0,"video_relative_to_screen_recording_start",36.078785,317792.344,317842.344,1,36.078785,"1781266396475","../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/A017_2_20260612_201316_screen.mkv",317792.344,317842.344,317817.344,"1781266714266","1781266714316","2026-06-12T20:18:34.266+08:00","2026-06-12T20:18:34.316+08:00",353.671143,EXP2,"exp2_target",3,2,"1:4|2:3|3:1|4:2"
