ParticipantID,ParticipantNote,SessionStartTime,SessionStartTimeBJT,SessionStartUnixMs,TrialID,ExhibitID,ExhibitName,LoadingCondition,Experiment,Experiment1LatinGroup,Experiment1SequenceIndex,Experiment1SequenceLabel,LoadingInteractTime,LoadingInteractTimeBJT,LoadingInteractUnixMs,LoadingStartTime,LoadingStartTimeBJT,LoadingStartUnixMs,LoadingCompleteTime,LoadingCompleteTimeBJT,LoadingCompleteUnixMs,ProgressiveUsablePointTime,ProgressiveUsablePointTimeBJT,ProgressiveUsablePointUnixMs,QuestionIndex,TotalQuestions,QuestionText,SelectedOptionIndex,SelectedOptionLabel,SelectedOptionText,CorrectOptionIndex,CorrectOptionLabel,CorrectOptionText,IsCorrect,ViewerEnterTime,ViewerEnterTimeBJT,ViewerEnterUnixMs,QuestionStartTime,QuestionStartTimeBJT,QuestionStartUnixMs,QuestionSubmitTime,QuestionSubmitTimeBJT,QuestionSubmitUnixMs,QuestionDuration,ViewerExitTime,ViewerExitTimeBJT,ViewerExitUnixMs,TrialTotalDuration,ParticipantTotalDuration
"A030","G2G3",350.967,"2026-06-13T17:04:01.849+08:00",1781341441849,"T001","Ex1_TEST","测试展品","A","EXP1","NA",-1,"NA",409.786,"2026-06-13T17:05:00.669+08:00",1781341500669,409.786,"2026-06-13T17:05:00.669+08:00",1781341500669,411.784,"2026-06-13T17:05:02.666+08:00",1781341502666,-1.000,"",-1,1,2,"这件展品是什么材质？",0,"A","陶器",-1,"NotScored","NotScored",-1,415.318,"2026-06-13T17:05:06.201+08:00",1781341506201,415.318,"2026-06-13T17:05:06.201+08:00",1781341506201,420.761,"2026-06-13T17:05:11.643+08:00",1781341511643,5.443,430.639,"2026-06-13T17:05:21.522+08:00",1781341521522,15.321,79.673
"A030","G2G3",350.967,"2026-06-13T17:04:01.849+08:00",1781341441849,"T001","Ex1_TEST","测试展品","A","EXP1","NA",-1,"NA",409.786,"2026-06-13T17:05:00.669+08:00",1781341500669,409.786,"2026-06-13T17:05:00.669+08:00",1781341500669,411.784,"2026-06-13T17:05:02.666+08:00",1781341502666,-1.000,"",-1,2,2,"它表面的纹样更接近？",1,"B","几何纹样",-1,"NotScored","NotScored",-1,415.318,"2026-06-13T17:05:06.201+08:00",1781341506201,420.761,"2026-06-13T17:05:11.643+08:00",1781341511643,428.595,"2026-06-13T17:05:19.477+08:00",1781341519477,7.833,430.639,"2026-06-13T17:05:21.522+08:00",1781341521522,15.321,79.673
"A030","G2G3",350.967,"2026-06-13T17:04:01.849+08:00",1781341441849,"T002","01","半岛香炉","A_PLUS","EXP1","G2",1,"G2_T01",480.004,"2026-06-13T17:06:10.886+08:00",1781341570886,480.004,"2026-06-13T17:06:10.886+08:00",1781341570886,489.998,"2026-06-13T17:06:20.881+08:00",1781341580881,-1.000,"",-1,1,2,"这件展品是什么材质？",1,"B","金属件",1,"B","金属件",1,496.741,"2026-06-13T17:06:27.623+08:00",1781341587623,496.741,"2026-06-13T17:06:27.623+08:00",1781341587623,502.458,"2026-06-13T17:06:33.340+08:00",1781341593340,5.717,521.145,"2026-06-13T17:06:52.027+08:00",1781341612027,24.404,170.178
"A030","G2G3",350.967,"2026-06-13T17:04:01.849+08:00",1781341441849,"T002","01","半岛香炉","A_PLUS","EXP1","G2",1,"G2_T01",480.004,"2026-06-13T17:06:10.886+08:00",1781341570886,480.004,"2026-06-13T17:06:10.886+08:00",1781341570886,489.998,"2026-06-13T17:06:20.881+08:00",1781341580881,-1.000,"",-1,2,2,"它表面的纹样更接近？",0,"A","动植物纹样",1,"B","几何纹样",0,496.741,"2026-06-13T17:06:27.623+08:00",1781341587623,502.458,"2026-06-13T17:06:33.340+08:00",1781341593340,519.068,"2026-06-13T17:06:49.950+08:00",1781341609950,16.610,521.145,"2026-06-13T17:06:52.027+08:00",1781341612027,24.404,170.178
"A030","G2G3",350.967,"2026-06-13T17:04:01.849+08:00",1781341441849,"T003","02","中国青铜器","B","EXP1","G2",2,"G2_T02",614.711,"2026-06-13T17:08:25.593+08:00",1781341705593,614.711,"2026-06-13T17:08:25.593+08:00",1781341705593,624.704,"2026-06-13T17:08:35.586+08:00",1781341715586,-1.000,"",-1,1,2,"这件展品是什么材质？",1,"B","金属件",1,"B","金属件",1,626.908,"2026-06-13T17:08:37.790+08:00",1781341717790,626.908,"2026-06-13T17:08:37.790+08:00",1781341717790,632.405,"2026-06-13T17:08:43.288+08:00",1781341723288,5.497,642.572,"2026-06-13T17:08:53.455+08:00",1781341733455,15.664,291.606
"A030","G2G3",350.967,"2026-06-13T17:04:01.849+08:00",1781341441849,"T003","02","中国青铜器","B","EXP1","G2",2,"G2_T02",614.711,"2026-06-13T17:08:25.593+08:00",1781341705593,614.711,"2026-06-13T17:08:25.593+08:00",1781341705593,624.704,"2026-06-13T17:08:35.586+08:00",1781341715586,-1.000,"",-1,2,2,"它表面的纹样更接近？",1,"B","几何纹样",1,"B","几何纹样",1,626.908,"2026-06-13T17:08:37.790+08:00",1781341717790,632.405,"2026-06-13T17:08:43.288+08:00",1781341723288,641.135,"2026-06-13T17:08:52.017+08:00",1781341732017,8.730,642.572,"2026-06-13T17:08:53.455+08:00",1781341733455,15.664,291.606
"A030","G2G3",350.967,"2026-06-13T17:04:01.849+08:00",1781341441849,"T004","03","希腊陶具","C_MINUS","EXP1","G2",3,"G2_T03",714.602,"2026-06-13T17:10:05.485+08:00",1781341805485,714.602,"2026-06-13T17:10:05.485+08:00",1781341805485,724.602,"2026-06-13T17:10:15.484+08:00",1781341815484,720.586,"2026-06-13T17:10:11.469+08:00",1781341811469,1,2,"这件展品是什么材质？",0,"A","陶器",0,"A","陶器",1,714.602,"2026-06-13T17:10:05.485+08:00",1781341805485,720.586,"2026-06-13T17:10:11.469+08:00",1781341811469,723.779,"2026-06-13T17:10:14.661+08:00",1781341814661,3.193,728.638,"2026-06-13T17:10:19.520+08:00",1781341819520,14.036,377.671
"A030","G2G3",350.967,"2026-06-13T17:04:01.849+08:00",1781341441849,"T004","03","希腊陶具","C_MINUS","EXP1","G2",3,"G2_T03",714.602,"2026-06-13T17:10:05.485+08:00",1781341805485,714.602,"2026-06-13T17:10:05.485+08:00",1781341805485,724.602,"2026-06-13T17:10:15.484+08:00",1781341815484,720.586,"2026-06-13T17:10:11.469+08:00",1781341811469,2,2,"它表面的纹样更接近？",2,"C","人物图画",2,"C","人物图画",1,714.602,"2026-06-13T17:10:05.485+08:00",1781341805485,723.779,"2026-06-13T17:10:14.661+08:00",1781341814661,726.562,"2026-06-13T17:10:17.444+08:00",1781341817444,2.783,728.638,"2026-06-13T17:10:19.520+08:00",1781341819520,14.036,377.671
"A030","G2G3",350.967,"2026-06-13T17:04:01.849+08:00",1781341441849,"T005","04","中国花瓶","C","EXP1","G2",4,"G2_T04",789.928,"2026-06-13T17:11:20.810+08:00",1781341880810,789.928,"2026-06-13T17:11:20.810+08:00",1781341880810,799.919,"2026-06-13T17:11:30.801+08:00",1781341890801,795.926,"2026-06-13T17:11:26.808+08:00",1781341886808,1,2,"这件展品是什么材质？",2,"C","瓷器",2,"C","瓷器",1,789.928,"2026-06-13T17:11:20.810+08:00",1781341880810,795.926,"2026-06-13T17:11:26.808+08:00",1781341886808,801.364,"2026-06-13T17:11:32.246+08:00",1781341892246,5.438,809.707,"2026-06-13T17:11:40.589+08:00",1781341900589,19.779,458.740
"A030","G2G3",350.967,"2026-06-13T17:04:01.849+08:00",1781341441849,"T005","04","中国花瓶","C","EXP1","G2",4,"G2_T04",789.928,"2026-06-13T17:11:20.810+08:00",1781341880810,789.928,"2026-06-13T17:11:20.810+08:00",1781341880810,799.919,"2026-06-13T17:11:30.801+08:00",1781341890801,795.926,"2026-06-13T17:11:26.808+08:00",1781341886808,2,2,"它表面的纹样更接近？",3,"D","动物纹样",3,"D","动物纹样",1,789.928,"2026-06-13T17:11:20.810+08:00",1781341880810,801.364,"2026-06-13T17:11:32.246+08:00",1781341892246,808.140,"2026-06-13T17:11:39.022+08:00",1781341899022,6.776,809.707,"2026-06-13T17:11:40.589+08:00",1781341900589,19.779,458.740
