aoi_group_id,aoi_name,shape_id,reference_id,shape_type,x_min,y_min,x_max,y_max,center_x,center_y,radius,participant,trial_id,condition,phase,time_start,time_end,time_start_event,time_end_event,priority,enabled,rel_start_ms,rel_end_ms,ue_time_start_sec,ue_time_end_sec,viewport_width,viewport_height,source_component,projection_valid,is_clamped,time_mode,session_start_world_sec,session_rel_start_ms,session_rel_end_ms,recording_active,recording_start_world_sec,recording_start_unix_ms,recording_file,video_time_start_ms,video_time_end_ms,time_ms,unix_start_ms,unix_end_ms,bjt_start,bjt_end,loading_start_world_sec,experiment_code,aoi_scope,target_content_index,target_display_index,slot_permutation
"b_preview_panel","B条件预览面板","T007_b_preview_panel_0001","video_relative_to_recording_start",rectangle,0,0,1858,524,,,,"A031","T007","B",loading,,,,,1,TRUE,0.000,50.000,915.515930,915.565918,1920,1046,"floating_widget_component_bounds_fallback",1,1,"video_relative_to_screen_recording_start",433.625458,481890.469,481940.469,1,433.625458,"1781414900267","../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/A031_v2_20260614_132820_screen.mkv",481890.469,481940.469,481915.469,"1781415382156","1781415382206","2026-06-14T13:36:22.156+08:00","2026-06-14T13:36:22.206+08:00",915.515930,EXP1,"b_preview",-1,-1,
"b_progress_bar","B条件进度条区域","T007_b_progress_bar_0002","video_relative_to_recording_start",rectangle,92,484,1766,511,,,,"A031","T007","B",loading,,,,,1,TRUE,0.000,50.000,915.515930,915.565918,1920,1046,"b_preview_relative_progress_bar_fallback",1,0,"video_relative_to_screen_recording_start",433.625458,481890.469,481940.469,1,433.625458,"1781414900267","../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/A031_v2_20260614_132820_screen.mkv",481890.469,481940.469,481915.469,"1781415382156","1781415382206","2026-06-14T13:36:22.156+08:00","2026-06-14T13:36:22.206+08:00",915.515930,EXP1,"b_progress_bar",-1,-1,
"b_preview_panel","B条件预览面板","T007_b_preview_panel_0003","video_relative_to_recording_start",rectangle,0,0,1850,457,,,,"A031","T007","B",loading,,,,,1,TRUE,50.000,100.000,915.565918,915.615906,1920,1046,"world_widget_card_size_box_geometry",1,1,"video_relative_to_screen_recording_start",433.625458,481940.469,481990.438,1,433.625458,"1781414900267","../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/A031_v2_20260614_132820_screen.mkv",481940.469,481990.438,481965.438,"1781415382206","1781415382256","2026-06-14T13:36:22.206+08:00","2026-06-14T13:36:22.256+08:00",915.515930,EXP1,"b_preview",-1,-1,
"b_progress_bar","B条件进度条区域","T007_b_progress_bar_0004","video_relative_to_recording_start",rectangle,360,325,1345,383,,,,"A031","T007","B",loading,,,,,1,TRUE,50.000,100.000,915.565918,915.615906,1920,1046,"world_widget_loading_progress_bar_geometry",1,0,"video_relative_to_screen_recording_start",433.625458,481940.469,481990.438,1,433.625458,"1781414900267","../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/A031_v2_20260614_132820_screen.mkv",481940.469,481990.438,481965.438,"1781415382206","1781415382256","2026-06-14T13:36:22.206+08:00","2026-06-14T13:36:22.256+08:00",915.515930,EXP1,"b_progress_bar",-1,-1,
"b_preview_panel","B条件预览面板","T007_b_preview_panel_0005","video_relative_to_recording_start",rectangle,0,0,1850,457,,,,"A031","T007","B",loading,,,,,1,TRUE,100.000,150.000,915.615906,915.665955,1920,1046,"world_widget_card_size_box_geometry",1,1,"video_relative_to_screen_recording_start",433.625458,481990.438,482040.500,1,433.625458,"1781414900267","../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/A031_v2_20260614_132820_screen.mkv",481990.438,482040.500,482015.469,"1781415382256","1781415382306","2026-06-14T13:36:22.256+08:00","2026-06-14T13:36:22.306+08:00",915.515930,EXP1,"b_preview",-1,-1,
"b_progress_bar","B条件进度条区域","T007_b_progress_bar_0006","video_relative_to_recording_start",rectangle,360,325,1345,383,,,,"A031","T007","B",loading,,,,,1,TRUE,100.000,150.000,915.615906,915.665955,1920,1046,"world_widget_loading_progress_bar_geometry",1,0,"video_relative_to_screen_recording_start",433.625458,481990.438,482040.500,1,433.625458,"1781414900267","../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/A031_v2_20260614_132820_screen.mkv",481990.438,482040.500,482015.469,"1781415382256","1781415382306","2026-06-14T13:36:22.256+08:00","2026-06-14T13:36:22.306+08:00",915.515930,EXP1,"b_progress_bar",-1,-1,
"b_preview_panel","B条件预览面板","T007_b_preview_panel_0007","video_relative_to_recording_start",rectangle,0,0,1850,457,,,,"A031","T007","B",loading,,,,,1,TRUE,150.000,200.000,915.665955,915.715942,1920,1046,"world_widget_card_size_box_geometry",1,1,"video_relative_to_screen_recording_start",433.625458,482040.500,482090.500,1,433.625458,"1781414900267","../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/A031_v2_20260614_132820_screen.mkv",482040.500,482090.500,482065.500,"1781415382306","1781415382356","2026-06-14T13:36:22.306+08:00","2026-06-14T13:36:22.356+08:00",915.515930,EXP1,"b_preview",-1,-1,
"b_progress_bar","B条件进度条区域","T007_b_progress_bar_0008","video_relative_to_recording_start",rectangle,360,325,1345,383,,,,"A031","T007","B",loading,,,,,1,TRUE,150.000,200.000,915.665955,915.715942,1920,1046,"world_widget_loading_progress_bar_geometry",1,0,"video_relative_to_screen_recording_start",433.625458,482040.500,482090.500,1,433.625458,"1781414900267","../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/A031_v2_20260614_132820_screen.mkv",482040.500,482090.500,482065.500,"1781415382306","1781415382356","2026-06-14T13:36:22.306+08:00","2026-06-14T13:36:22.356+08:00",915.515930,EXP1,"b_progress_bar",-1,-1,
"b_preview_panel","B条件预览面板","T007_b_preview_panel_0009","video_relative_to_recording_start",rectangle,0,0,1850,457,,,,"A031","T007","B",loading,,,,,1,TRUE,200.000,250.000,915.715942,915.765930,1920,1046,"world_widget_card_size_box_geometry",1,1,"video_relative_to_screen_recording_start",433.625458,482090.500,482140.469,1,433.625458,"1781414900267","../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/A031_v2_20260614_132820_screen.mkv",482090.500,482140.469,482115.500,"1781415382356","1781415382406","2026-06-14T13:36:22.356+08:00","2026-06-14T13:36:22.406+08:00",915.515930,EXP1,"b_preview",-1,-1,
"b_progress_bar","B条件进度条区域","T007_b_progress_bar_0010","video_relative_to_recording_start",rectangle,360,325,1345,383,,,,"A031","T007","B",loading,,,,,1,TRUE,200.000,250.000,915.715942,915.765930,1920,1046,"world_widget_loading_progress_bar_geometry",1,0,"video_relative_to_screen_recording_start",433.625458,482090.500,482140.469,1,433.625458,"1781414900267","../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/A031_v2_20260614_132820_screen.mkv",482090.500,482140.469,482115.500,"1781415382356","1781415382406","2026-06-14T13:36:22.356+08:00","2026-06-14T13:36:22.406+08:00",915.515930,EXP1,"b_progress_bar",-1,-1,
