ParticipantID,ParticipantNote,SessionStartTime,SessionStartTimeBJT,SessionStartUnixMs,TrialID,ExhibitID,ExhibitName,LoadingCondition,Experiment,Experiment1LatinGroup,Experiment1SequenceIndex,Experiment1SequenceLabel,LoadingInteractTime,LoadingInteractTimeBJT,LoadingInteractUnixMs,LoadingStartTime,LoadingStartTimeBJT,LoadingStartUnixMs,LoadingCompleteTime,LoadingCompleteTimeBJT,LoadingCompleteUnixMs,ProgressiveUsablePointTime,ProgressiveUsablePointTimeBJT,ProgressiveUsablePointUnixMs,QuestionIndex,TotalQuestions,QuestionText,SelectedOptionIndex,SelectedOptionLabel,SelectedOptionText,CorrectOptionIndex,CorrectOptionLabel,CorrectOptionText,IsCorrect,ViewerEnterTime,ViewerEnterTimeBJT,ViewerEnterUnixMs,QuestionStartTime,QuestionStartTimeBJT,QuestionStartUnixMs,QuestionSubmitTime,QuestionSubmitTimeBJT,QuestionSubmitUnixMs,QuestionDuration,ViewerExitTime,ViewerExitTimeBJT,ViewerExitUnixMs,TrialTotalDuration,ParticipantTotalDuration
"A031","G4G1",433.625,"2026-06-14T13:28:20.266+08:00",1781414900266,"T001","Ex1_TEST","测试展品","A","EXP1","NA",-1,"NA",461.427,"2026-06-14T13:28:48.067+08:00",1781414928067,461.427,"2026-06-14T13:28:48.067+08:00",1781414928067,463.421,"2026-06-14T13:28:50.062+08:00",1781414930062,-1.000,"",-1,1,2,"这件展品是什么材质？",1,"B","金属件",-1,"NotScored","NotScored",-1,467.181,"2026-06-14T13:28:53.822+08:00",1781414933822,467.181,"2026-06-14T13:28:53.822+08:00",1781414933822,475.729,"2026-06-14T13:29:02.370+08:00",1781414942370,8.548,481.897,"2026-06-14T13:29:08.537+08:00",1781414948537,14.715,48.271
"A031","G4G1",433.625,"2026-06-14T13:28:20.266+08:00",1781414900266,"T001","Ex1_TEST","测试展品","A","EXP1","NA",-1,"NA",461.427,"2026-06-14T13:28:48.067+08:00",1781414928067,461.427,"2026-06-14T13:28:48.067+08:00",1781414928067,463.421,"2026-06-14T13:28:50.062+08:00",1781414930062,-1.000,"",-1,2,2,"它表面的纹样更接近？",2,"C","人物图画",-1,"NotScored","NotScored",-1,467.181,"2026-06-14T13:28:53.822+08:00",1781414933822,475.729,"2026-06-14T13:29:02.370+08:00",1781414942370,480.596,"2026-06-14T13:29:07.237+08:00",1781414947237,4.867,481.897,"2026-06-14T13:29:08.537+08:00",1781414948537,14.715,48.271
"A031","G4G1",433.625,"2026-06-14T13:28:20.266+08:00",1781414900266,"T002","Ex1_TEST","测试展品","A","EXP1","",-1,"",461.427,"2026-06-14T13:28:48.067+08:00",1781414928067,461.427,"2026-06-14T13:28:48.067+08:00",1781414928067,463.421,"2026-06-14T13:28:50.062+08:00",1781414930062,-1.000,"",-1,1,2,"这件展品是什么材质？",-1,"NotAnswered","NotAnswered",-1,"NotScored","NotScored",-1,486.310,"2026-06-14T13:29:12.950+08:00",1781414952950,486.310,"2026-06-14T13:29:12.950+08:00",1781414952950,493.821,"2026-06-14T13:29:20.461+08:00",1781414960461,7.511,493.821,"2026-06-14T13:29:20.461+08:00",1781414960461,7.511,60.195
"A031","G4G1",433.625,"2026-06-14T13:28:20.266+08:00",1781414900266,"T002","Ex1_TEST","测试展品","A","EXP1","",-1,"",461.427,"2026-06-14T13:28:48.067+08:00",1781414928067,461.427,"2026-06-14T13:28:48.067+08:00",1781414928067,463.421,"2026-06-14T13:28:50.062+08:00",1781414930062,-1.000,"",-1,2,2,"它表面的纹样更接近？",-1,"NotAnswered","NotAnswered",-1,"NotScored","NotScored",-1,486.310,"2026-06-14T13:29:12.950+08:00",1781414952950,493.821,"2026-06-14T13:29:20.461+08:00",1781414960461,493.821,"2026-06-14T13:29:20.461+08:00",1781414960461,0.000,493.821,"2026-06-14T13:29:20.461+08:00",1781414960461,7.511,60.195
"A031","G4G1",433.625,"2026-06-14T13:28:20.266+08:00",1781414900266,"T003","01","半岛香炉","C_MINUS","EXP1","G4",1,"G4_T01",524.107,"2026-06-14T13:29:50.748+08:00",1781414990748,524.107,"2026-06-14T13:29:50.748+08:00",1781414990748,534.099,"2026-06-14T13:30:00.740+08:00",1781415000740,530.102,"2026-06-14T13:29:56.742+08:00",1781414996742,1,2,"这件展品是什么材质？",0,"A","陶器",1,"B","金属件",0,524.107,"2026-06-14T13:29:50.748+08:00",1781414990748,530.102,"2026-06-14T13:29:56.742+08:00",1781414996742,538.063,"2026-06-14T13:30:04.703+08:00",1781415004703,7.961,549.280,"2026-06-14T13:30:15.921+08:00",1781415015921,25.173,115.655
"A031","G4G1",433.625,"2026-06-14T13:28:20.266+08:00",1781414900266,"T003","01","半岛香炉","C_MINUS","EXP1","G4",1,"G4_T01",524.107,"2026-06-14T13:29:50.748+08:00",1781414990748,524.107,"2026-06-14T13:29:50.748+08:00",1781414990748,534.099,"2026-06-14T13:30:00.740+08:00",1781415000740,530.102,"2026-06-14T13:29:56.742+08:00",1781414996742,2,2,"它表面的纹样更接近？",0,"A","动植物纹样",1,"B","几何纹样",0,524.107,"2026-06-14T13:29:50.748+08:00",1781414990748,538.063,"2026-06-14T13:30:04.703+08:00",1781415004703,548.178,"2026-06-14T13:30:14.818+08:00",1781415014818,10.115,549.280,"2026-06-14T13:30:15.921+08:00",1781415015921,25.173,115.655
"A031","G4G1",433.625,"2026-06-14T13:28:20.266+08:00",1781414900266,"T004","02","中国青铜器","C","EXP1","G4",2,"G4_T02",656.780,"2026-06-14T13:32:03.421+08:00",1781415123421,656.780,"2026-06-14T13:32:03.421+08:00",1781415123421,666.777,"2026-06-14T13:32:13.417+08:00",1781415133417,662.765,"2026-06-14T13:32:09.406+08:00",1781415129406,1,2,"这件展品是什么材质？",0,"A","陶器",1,"B","金属件",0,656.780,"2026-06-14T13:32:03.421+08:00",1781415123421,662.765,"2026-06-14T13:32:09.406+08:00",1781415129406,668.032,"2026-06-14T13:32:14.672+08:00",1781415134672,5.266,678.744,"2026-06-14T13:32:25.384+08:00",1781415145384,21.964,245.118
"A031","G4G1",433.625,"2026-06-14T13:28:20.266+08:00",1781414900266,"T004","02","中国青铜器","C","EXP1","G4",2,"G4_T02",656.780,"2026-06-14T13:32:03.421+08:00",1781415123421,656.780,"2026-06-14T13:32:03.421+08:00",1781415123421,666.777,"2026-06-14T13:32:13.417+08:00",1781415133417,662.765,"2026-06-14T13:32:09.406+08:00",1781415129406,2,2,"它表面的纹样更接近？",1,"B","几何纹样",1,"B","几何纹样",1,656.780,"2026-06-14T13:32:03.421+08:00",1781415123421,668.032,"2026-06-14T13:32:14.672+08:00",1781415134672,676.981,"2026-06-14T13:32:23.621+08:00",1781415143621,8.949,678.744,"2026-06-14T13:32:25.384+08:00",1781415145384,21.964,245.118
"A031","G4G1",433.625,"2026-06-14T13:28:20.266+08:00",1781414900266,"T005","03","希腊陶具","A","EXP1","G4",3,"G4_T03",744.750,"2026-06-14T13:33:31.391+08:00",1781415211391,744.750,"2026-06-14T13:33:31.391+08:00",1781415211391,754.744,"2026-06-14T13:33:41.385+08:00",1781415221385,-1.000,"",-1,1,2,"这件展品是什么材质？",2,"C","瓷器",0,"A","陶器",0,758.563,"2026-06-14T13:33:45.204+08:00",1781415225204,758.563,"2026-06-14T13:33:45.204+08:00",1781415225204,762.711,"2026-06-14T13:33:49.351+08:00",1781415229351,4.148,766.492,"2026-06-14T13:33:53.133+08:00",1781415233133,7.930,332.867
"A031","G4G1",433.625,"2026-06-14T13:28:20.266+08:00",1781414900266,"T005","03","希腊陶具","A","EXP1","G4",3,"G4_T03",744.750,"2026-06-14T13:33:31.391+08:00",1781415211391,744.750,"2026-06-14T13:33:31.391+08:00",1781415211391,754.744,"2026-06-14T13:33:41.385+08:00",1781415221385,-1.000,"",-1,2,2,"它表面的纹样更接近？",2,"C","人物图画",2,"C","人物图画",1,758.563,"2026-06-14T13:33:45.204+08:00",1781415225204,762.711,"2026-06-14T13:33:49.351+08:00",1781415229351,765.268,"2026-06-14T13:33:51.909+08:00",1781415231909,2.558,766.492,"2026-06-14T13:33:53.133+08:00",1781415233133,7.930,332.867
