aoi_group_id,aoi_name,shape_id,reference_id,shape_type,x_min,y_min,x_max,y_max,center_x,center_y,radius,participant,trial_id,condition,phase,time_start,time_end,time_start_event,time_end_event,priority,enabled,rel_start_ms,rel_end_ms,ue_time_start_sec,ue_time_end_sec,viewport_width,viewport_height,source_component,projection_valid,is_clamped,time_mode,session_start_world_sec,session_rel_start_ms,session_rel_end_ms,recording_active,recording_start_world_sec,recording_start_unix_ms,recording_file,video_time_start_ms,video_time_end_ms,time_ms,unix_start_ms,unix_end_ms,bjt_start,bjt_end,loading_start_world_sec,experiment_code,aoi_scope,target_content_index,target_display_index,slot_permutation
"b_preview_panel","B条件预览面板","T002_b_preview_panel_0001","video_relative_to_recording_start",rectangle,0,0,1919,385,,,,"A034","T002","B",loading,,,,,1,TRUE,0.000,50.000,184.791183,184.841187,1920,1046,"world_widget_card_size_box_geometry",1,1,"video_relative_to_screen_recording_start",108.821388,75969.797,76019.797,1,108.821388,"1781526090330","../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/A034_v2_20260615_202130_screen.mkv",75969.797,76019.797,75994.797,"1781526166299","1781526166349","2026-06-15T20:22:46.298+08:00","2026-06-15T20:22:46.348+08:00",184.791183,EXP1,"b_preview",-1,-1,
"b_progress_bar","B条件进度条区域","T002_b_progress_bar_0002","video_relative_to_recording_start",rectangle,493,280,1435,317,,,,"A034","T002","B",loading,,,,,1,TRUE,0.000,50.000,184.791183,184.841187,1920,1046,"world_widget_loading_progress_bar_geometry",1,0,"video_relative_to_screen_recording_start",108.821388,75969.797,76019.797,1,108.821388,"1781526090330","../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/A034_v2_20260615_202130_screen.mkv",75969.797,76019.797,75994.797,"1781526166299","1781526166349","2026-06-15T20:22:46.298+08:00","2026-06-15T20:22:46.348+08:00",184.791183,EXP1,"b_progress_bar",-1,-1,
"b_preview_panel","B条件预览面板","T002_b_preview_panel_0003","video_relative_to_recording_start",rectangle,0,0,1919,385,,,,"A034","T002","B",loading,,,,,1,TRUE,50.000,100.000,184.841187,184.891190,1920,1046,"world_widget_card_size_box_geometry",1,1,"video_relative_to_screen_recording_start",108.821388,76019.797,76069.805,1,108.821388,"1781526090330","../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/A034_v2_20260615_202130_screen.mkv",76019.797,76069.805,76044.797,"1781526166349","1781526166399","2026-06-15T20:22:46.348+08:00","2026-06-15T20:22:46.398+08:00",184.791183,EXP1,"b_preview",-1,-1,
"b_progress_bar","B条件进度条区域","T002_b_progress_bar_0004","video_relative_to_recording_start",rectangle,493,280,1435,317,,,,"A034","T002","B",loading,,,,,1,TRUE,50.000,100.000,184.841187,184.891190,1920,1046,"world_widget_loading_progress_bar_geometry",1,0,"video_relative_to_screen_recording_start",108.821388,76019.797,76069.805,1,108.821388,"1781526090330","../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/A034_v2_20260615_202130_screen.mkv",76019.797,76069.805,76044.797,"1781526166349","1781526166399","2026-06-15T20:22:46.348+08:00","2026-06-15T20:22:46.398+08:00",184.791183,EXP1,"b_progress_bar",-1,-1,
"b_preview_panel","B条件预览面板","T002_b_preview_panel_0005","video_relative_to_recording_start",rectangle,0,0,1919,385,,,,"A034","T002","B",loading,,,,,1,TRUE,100.000,150.000,184.891190,184.941177,1920,1046,"world_widget_card_size_box_geometry",1,1,"video_relative_to_screen_recording_start",108.821388,76069.805,76119.789,1,108.821388,"1781526090330","../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/A034_v2_20260615_202130_screen.mkv",76069.805,76119.789,76094.797,"1781526166399","1781526166449","2026-06-15T20:22:46.398+08:00","2026-06-15T20:22:46.448+08:00",184.791183,EXP1,"b_preview",-1,-1,
"b_progress_bar","B条件进度条区域","T002_b_progress_bar_0006","video_relative_to_recording_start",rectangle,493,280,1435,317,,,,"A034","T002","B",loading,,,,,1,TRUE,100.000,150.000,184.891190,184.941177,1920,1046,"world_widget_loading_progress_bar_geometry",1,0,"video_relative_to_screen_recording_start",108.821388,76069.805,76119.789,1,108.821388,"1781526090330","../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/A034_v2_20260615_202130_screen.mkv",76069.805,76119.789,76094.797,"1781526166399","1781526166449","2026-06-15T20:22:46.398+08:00","2026-06-15T20:22:46.448+08:00",184.791183,EXP1,"b_progress_bar",-1,-1,
"b_preview_panel","B条件预览面板","T002_b_preview_panel_0007","video_relative_to_recording_start",rectangle,0,0,1919,385,,,,"A034","T002","B",loading,,,,,1,TRUE,150.000,200.000,184.941177,184.991180,1920,1046,"world_widget_card_size_box_geometry",1,1,"video_relative_to_screen_recording_start",108.821388,76119.789,76169.789,1,108.821388,"1781526090330","../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/A034_v2_20260615_202130_screen.mkv",76119.789,76169.789,76144.789,"1781526166449","1781526166499","2026-06-15T20:22:46.448+08:00","2026-06-15T20:22:46.498+08:00",184.791183,EXP1,"b_preview",-1,-1,
"b_progress_bar","B条件进度条区域","T002_b_progress_bar_0008","video_relative_to_recording_start",rectangle,493,280,1435,317,,,,"A034","T002","B",loading,,,,,1,TRUE,150.000,200.000,184.941177,184.991180,1920,1046,"world_widget_loading_progress_bar_geometry",1,0,"video_relative_to_screen_recording_start",108.821388,76119.789,76169.789,1,108.821388,"1781526090330","../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/A034_v2_20260615_202130_screen.mkv",76119.789,76169.789,76144.789,"1781526166449","1781526166499","2026-06-15T20:22:46.448+08:00","2026-06-15T20:22:46.498+08:00",184.791183,EXP1,"b_progress_bar",-1,-1,
"b_preview_panel","B条件预览面板","T002_b_preview_panel_0009","video_relative_to_recording_start",rectangle,0,0,1919,385,,,,"A034","T002","B",loading,,,,,1,TRUE,200.000,250.000,184.991180,185.041183,1920,1046,"world_widget_card_size_box_geometry",1,1,"video_relative_to_screen_recording_start",108.821388,76169.789,76219.797,1,108.821388,"1781526090330","../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/A034_v2_20260615_202130_screen.mkv",76169.789,76219.797,76194.797,"1781526166499","1781526166549","2026-06-15T20:22:46.498+08:00","2026-06-15T20:22:46.548+08:00",184.791183,EXP1,"b_preview",-1,-1,
"b_progress_bar","B条件进度条区域","T002_b_progress_bar_0010","video_relative_to_recording_start",rectangle,493,280,1435,317,,,,"A034","T002","B",loading,,,,,1,TRUE,200.000,250.000,184.991180,185.041183,1920,1046,"world_widget_loading_progress_bar_geometry",1,0,"video_relative_to_screen_recording_start",108.821388,76169.789,76219.797,1,108.821388,"1781526090330","../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/A034_v2_20260615_202130_screen.mkv",76169.789,76219.797,76194.797,"1781526166499","1781526166549","2026-06-15T20:22:46.498+08:00","2026-06-15T20:22:46.548+08:00",184.791183,EXP1,"b_progress_bar",-1,-1,
