aoi_group_id,aoi_name,shape_id,reference_id,shape_type,x_min,y_min,x_max,y_max,center_x,center_y,radius,participant,trial_id,condition,phase,time_start,time_end,time_start_event,time_end_event,priority,enabled,rel_start_ms,rel_end_ms,ue_time_start_sec,ue_time_end_sec,viewport_width,viewport_height,source_component,projection_valid,is_clamped,time_mode,session_start_world_sec,session_rel_start_ms,session_rel_end_ms,recording_active,recording_start_world_sec,recording_start_unix_ms,recording_file,video_time_start_ms,video_time_end_ms,time_ms,unix_start_ms,unix_end_ms,bjt_start,bjt_end,loading_start_world_sec,experiment_code,aoi_scope,target_content_index,target_display_index,slot_permutation
"exp2_table_objects","实验二桌面四模型总体区域","Exp2_001_exp2_table_objects_0001","video_relative_to_recording_start",rectangle,0,316,1919,996,,,,"A037","Exp2_001","E1_SPATIAL_PROGRESSIVE",loading,,,,,1,TRUE,0.000,50.000,221.175980,221.225983,1920,1046,"ObjectSlot1-4",1,1,"video_relative_to_screen_recording_start",75.060127,146115.844,146165.859,1,75.060127,"1781613114174","../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/A037_v2_20260616_203154_screen.mkv",146115.844,146165.859,146140.844,"1781613260289","1781613260339","2026-06-16T20:34:20.288+08:00","2026-06-16T20:34:20.338+08:00",221.175980,EXP2,"exp2_table",1,1,"1:1|2:2|3:3|4:4"
"exp2_target_object","实验二当前目标模型_左脸","Exp2_001_exp2_target_object_0002","video_relative_to_recording_start",rectangle,0,316,626,996,,,,"A037","Exp2_001","E1_SPATIAL_PROGRESSIVE",loading,,,,,1,TRUE,0.000,50.000,221.175980,221.225983,1920,1046,"ObjectSlot1",1,1,"video_relative_to_screen_recording_start",75.060127,146115.844,146165.859,1,75.060127,"1781613114174","../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/A037_v2_20260616_203154_screen.mkv",146115.844,146165.859,146140.844,"1781613260289","1781613260339","2026-06-16T20:34:20.288+08:00","2026-06-16T20:34:20.338+08:00",221.175980,EXP2,"exp2_target",1,1,"1:1|2:2|3:3|4:4"
"exp2_table_objects","实验二桌面四模型总体区域","Exp2_001_exp2_table_objects_0003","video_relative_to_recording_start",rectangle,0,316,1919,996,,,,"A037","Exp2_001","E1_SPATIAL_PROGRESSIVE",loading,,,,,1,TRUE,50.000,100.000,221.225983,221.275986,1920,1046,"ObjectSlot1-4",1,1,"video_relative_to_screen_recording_start",75.060127,146165.859,146215.844,1,75.060127,"1781613114174","../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/A037_v2_20260616_203154_screen.mkv",146165.859,146215.844,146190.844,"1781613260339","1781613260389","2026-06-16T20:34:20.338+08:00","2026-06-16T20:34:20.388+08:00",221.175980,EXP2,"exp2_table",1,1,"1:1|2:2|3:3|4:4"
"exp2_target_object","实验二当前目标模型_左脸","Exp2_001_exp2_target_object_0004","video_relative_to_recording_start",rectangle,0,316,626,996,,,,"A037","Exp2_001","E1_SPATIAL_PROGRESSIVE",loading,,,,,1,TRUE,50.000,100.000,221.225983,221.275986,1920,1046,"ObjectSlot1",1,1,"video_relative_to_screen_recording_start",75.060127,146165.859,146215.844,1,75.060127,"1781613114174","../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/A037_v2_20260616_203154_screen.mkv",146165.859,146215.844,146190.844,"1781613260339","1781613260389","2026-06-16T20:34:20.338+08:00","2026-06-16T20:34:20.388+08:00",221.175980,EXP2,"exp2_target",1,1,"1:1|2:2|3:3|4:4"
"exp2_table_objects","实验二桌面四模型总体区域","Exp2_001_exp2_table_objects_0005","video_relative_to_recording_start",rectangle,0,316,1919,996,,,,"A037","Exp2_001","E1_SPATIAL_PROGRESSIVE",loading,,,,,1,TRUE,100.000,150.000,221.275986,221.325974,1920,1046,"ObjectSlot1-4",1,1,"video_relative_to_screen_recording_start",75.060127,146215.844,146265.844,1,75.060127,"1781613114174","../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/A037_v2_20260616_203154_screen.mkv",146215.844,146265.844,146240.844,"1781613260389","1781613260439","2026-06-16T20:34:20.388+08:00","2026-06-16T20:34:20.438+08:00",221.175980,EXP2,"exp2_table",1,1,"1:1|2:2|3:3|4:4"
"exp2_target_object","实验二当前目标模型_左脸","Exp2_001_exp2_target_object_0006","video_relative_to_recording_start",rectangle,0,316,626,996,,,,"A037","Exp2_001","E1_SPATIAL_PROGRESSIVE",loading,,,,,1,TRUE,100.000,150.000,221.275986,221.325974,1920,1046,"ObjectSlot1",1,1,"video_relative_to_screen_recording_start",75.060127,146215.844,146265.844,1,75.060127,"1781613114174","../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/A037_v2_20260616_203154_screen.mkv",146215.844,146265.844,146240.844,"1781613260389","1781613260439","2026-06-16T20:34:20.388+08:00","2026-06-16T20:34:20.438+08:00",221.175980,EXP2,"exp2_target",1,1,"1:1|2:2|3:3|4:4"
"exp2_table_objects","实验二桌面四模型总体区域","Exp2_001_exp2_table_objects_0007","video_relative_to_recording_start",rectangle,0,316,1919,996,,,,"A037","Exp2_001","E1_SPATIAL_PROGRESSIVE",loading,,,,,1,TRUE,150.000,200.000,221.325974,221.375977,1920,1046,"ObjectSlot1-4",1,1,"video_relative_to_screen_recording_start",75.060127,146265.844,146315.859,1,75.060127,"1781613114174","../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/A037_v2_20260616_203154_screen.mkv",146265.844,146315.859,146290.844,"1781613260439","1781613260489","2026-06-16T20:34:20.438+08:00","2026-06-16T20:34:20.488+08:00",221.175980,EXP2,"exp2_table",1,1,"1:1|2:2|3:3|4:4"
"exp2_target_object","实验二当前目标模型_左脸","Exp2_001_exp2_target_object_0008","video_relative_to_recording_start",rectangle,0,316,626,996,,,,"A037","Exp2_001","E1_SPATIAL_PROGRESSIVE",loading,,,,,1,TRUE,150.000,200.000,221.325974,221.375977,1920,1046,"ObjectSlot1",1,1,"video_relative_to_screen_recording_start",75.060127,146265.844,146315.859,1,75.060127,"1781613114174","../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/A037_v2_20260616_203154_screen.mkv",146265.844,146315.859,146290.844,"1781613260439","1781613260489","2026-06-16T20:34:20.438+08:00","2026-06-16T20:34:20.488+08:00",221.175980,EXP2,"exp2_target",1,1,"1:1|2:2|3:3|4:4"
"exp2_table_objects","实验二桌面四模型总体区域","Exp2_001_exp2_table_objects_0009","video_relative_to_recording_start",rectangle,0,316,1919,996,,,,"A037","Exp2_001","E1_SPATIAL_PROGRESSIVE",loading,,,,,1,TRUE,200.000,250.000,221.375977,221.425980,1920,1046,"ObjectSlot1-4",1,1,"video_relative_to_screen_recording_start",75.060127,146315.859,146365.844,1,75.060127,"1781613114174","../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/A037_v2_20260616_203154_screen.mkv",146315.859,146365.844,146340.844,"1781613260489","1781613260539","2026-06-16T20:34:20.488+08:00","2026-06-16T20:34:20.538+08:00",221.175980,EXP2,"exp2_table",1,1,"1:1|2:2|3:3|4:4"
"exp2_target_object","实验二当前目标模型_左脸","Exp2_001_exp2_target_object_0010","video_relative_to_recording_start",rectangle,0,316,626,996,,,,"A037","Exp2_001","E1_SPATIAL_PROGRESSIVE",loading,,,,,1,TRUE,200.000,250.000,221.375977,221.425980,1920,1046,"ObjectSlot1",1,1,"video_relative_to_screen_recording_start",75.060127,146315.859,146365.844,1,75.060127,"1781613114174","../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/A037_v2_20260616_203154_screen.mkv",146315.859,146365.844,146340.844,"1781613260489","1781613260539","2026-06-16T20:34:20.488+08:00","2026-06-16T20:34:20.538+08:00",221.175980,EXP2,"exp2_target",1,1,"1:1|2:2|3:3|4:4"
