ParticipantID,ParticipantNote,SessionStartTime,SessionStartTimeBJT,SessionStartUnixMs,TrialID,ExhibitID,ExhibitName,LoadingCondition,Experiment,Experiment1LatinGroup,Experiment1SequenceIndex,Experiment1SequenceLabel,LoadingInteractTime,LoadingInteractTimeBJT,LoadingInteractUnixMs,LoadingStartTime,LoadingStartTimeBJT,LoadingStartUnixMs,LoadingCompleteTime,LoadingCompleteTimeBJT,LoadingCompleteUnixMs,ProgressiveUsablePointTime,ProgressiveUsablePointTimeBJT,ProgressiveUsablePointUnixMs,QuestionIndex,TotalQuestions,QuestionText,SelectedOptionIndex,SelectedOptionLabel,SelectedOptionText,CorrectOptionIndex,CorrectOptionLabel,CorrectOptionText,IsCorrect,ViewerEnterTime,ViewerEnterTimeBJT,ViewerEnterUnixMs,QuestionStartTime,QuestionStartTimeBJT,QuestionStartUnixMs,QuestionSubmitTime,QuestionSubmitTimeBJT,QuestionSubmitUnixMs,QuestionDuration,ViewerExitTime,ViewerExitTimeBJT,ViewerExitUnixMs,TrialTotalDuration,ParticipantTotalDuration
"A037","G1G1",461.391,"2026-06-16T20:07:37.574+08:00",1781611657574,"T001","Ex1_TEST","测试展品","A","EXP1","NA",-1,"NA",544.328,"2026-06-16T20:09:00.511+08:00",1781611740511,544.328,"2026-06-16T20:09:00.511+08:00",1781611740511,546.319,"2026-06-16T20:09:02.502+08:00",1781611742502,-1.000,"",-1,1,2,"这件展品是什么材质？",0,"A","陶器",-1,"NotScored","NotScored",-1,550.341,"2026-06-16T20:09:06.524+08:00",1781611746524,550.341,"2026-06-16T20:09:06.524+08:00",1781611746524,575.505,"2026-06-16T20:09:31.688+08:00",1781611771688,25.164,581.223,"2026-06-16T20:09:37.406+08:00",1781611777406,30.882,119.832
"A037","G1G1",461.391,"2026-06-16T20:07:37.574+08:00",1781611657574,"T001","Ex1_TEST","测试展品","A","EXP1","NA",-1,"NA",544.328,"2026-06-16T20:09:00.511+08:00",1781611740511,544.328,"2026-06-16T20:09:00.511+08:00",1781611740511,546.319,"2026-06-16T20:09:02.502+08:00",1781611742502,-1.000,"",-1,2,2,"它表面的纹样更接近？",1,"B","几何纹样",-1,"NotScored","NotScored",-1,550.341,"2026-06-16T20:09:06.524+08:00",1781611746524,575.505,"2026-06-16T20:09:31.688+08:00",1781611771688,579.236,"2026-06-16T20:09:35.419+08:00",1781611775419,3.730,581.223,"2026-06-16T20:09:37.406+08:00",1781611777406,30.882,119.832
"A037","G1G1",461.391,"2026-06-16T20:07:37.574+08:00",1781611657574,"T002","01","半岛香炉","A","EXP1","G1",1,"G1_T01",634.830,"2026-06-16T20:10:31.013+08:00",1781611831013,634.830,"2026-06-16T20:10:31.013+08:00",1781611831013,644.816,"2026-06-16T20:10:40.999+08:00",1781611840999,-1.000,"",-1,1,2,"这件展品是什么材质？",1,"B","金属件",1,"B","金属件",1,647.943,"2026-06-16T20:10:44.126+08:00",1781611844126,647.943,"2026-06-16T20:10:44.126+08:00",1781611844126,657.643,"2026-06-16T20:10:53.826+08:00",1781611853826,9.700,665.389,"2026-06-16T20:11:01.572+08:00",1781611861572,17.446,203.998
"A037","G1G1",461.391,"2026-06-16T20:07:37.574+08:00",1781611657574,"T002","01","半岛香炉","A","EXP1","G1",1,"G1_T01",634.830,"2026-06-16T20:10:31.013+08:00",1781611831013,634.830,"2026-06-16T20:10:31.013+08:00",1781611831013,644.816,"2026-06-16T20:10:40.999+08:00",1781611840999,-1.000,"",-1,2,2,"它表面的纹样更接近？",0,"A","动植物纹样",1,"B","几何纹样",0,647.943,"2026-06-16T20:10:44.126+08:00",1781611844126,657.643,"2026-06-16T20:10:53.826+08:00",1781611853826,663.310,"2026-06-16T20:10:59.493+08:00",1781611859493,5.667,665.389,"2026-06-16T20:11:01.572+08:00",1781611861572,17.446,203.998
"A037","G1G1",461.391,"2026-06-16T20:07:37.574+08:00",1781611657574,"T003","02","中国青铜器","A_PLUS","EXP1","G1",2,"G1_T02",772.261,"2026-06-16T20:12:48.444+08:00",1781611968444,772.261,"2026-06-16T20:12:48.444+08:00",1781611968444,782.251,"2026-06-16T20:12:58.434+08:00",1781611978434,-1.000,"",-1,1,2,"这件展品是什么材质？",1,"B","金属件",1,"B","金属件",1,786.072,"2026-06-16T20:13:02.255+08:00",1781611982255,786.072,"2026-06-16T20:13:02.255+08:00",1781611982255,793.915,"2026-06-16T20:13:10.098+08:00",1781611990098,7.843,808.618,"2026-06-16T20:13:24.801+08:00",1781612004801,22.546,347.227
"A037","G1G1",461.391,"2026-06-16T20:07:37.574+08:00",1781611657574,"T003","02","中国青铜器","A_PLUS","EXP1","G1",2,"G1_T02",772.261,"2026-06-16T20:12:48.444+08:00",1781611968444,772.261,"2026-06-16T20:12:48.444+08:00",1781611968444,782.251,"2026-06-16T20:12:58.434+08:00",1781611978434,-1.000,"",-1,2,2,"它表面的纹样更接近？",1,"B","几何纹样",1,"B","几何纹样",1,786.072,"2026-06-16T20:13:02.255+08:00",1781611982255,793.915,"2026-06-16T20:13:10.098+08:00",1781611990098,806.315,"2026-06-16T20:13:22.498+08:00",1781612002498,12.400,808.618,"2026-06-16T20:13:24.801+08:00",1781612004801,22.546,347.227
"A037","G1G1",461.391,"2026-06-16T20:07:37.574+08:00",1781611657574,"T004","03","希腊陶具","B","EXP1","G1",3,"G1_T03",872.692,"2026-06-16T20:14:28.875+08:00",1781612068875,872.692,"2026-06-16T20:14:28.875+08:00",1781612068875,882.678,"2026-06-16T20:14:38.861+08:00",1781612078861,-1.000,"",-1,1,2,"这件展品是什么材质？",0,"A","陶器",0,"A","陶器",1,885.022,"2026-06-16T20:14:41.205+08:00",1781612081205,885.022,"2026-06-16T20:14:41.205+08:00",1781612081205,897.248,"2026-06-16T20:14:53.431+08:00",1781612093431,12.225,901.842,"2026-06-16T20:14:58.025+08:00",1781612098025,16.820,440.451
"A037","G1G1",461.391,"2026-06-16T20:07:37.574+08:00",1781611657574,"T004","03","希腊陶具","B","EXP1","G1",3,"G1_T03",872.692,"2026-06-16T20:14:28.875+08:00",1781612068875,872.692,"2026-06-16T20:14:28.875+08:00",1781612068875,882.678,"2026-06-16T20:14:38.861+08:00",1781612078861,-1.000,"",-1,2,2,"它表面的纹样更接近？",2,"C","人物图画",2,"C","人物图画",1,885.022,"2026-06-16T20:14:41.205+08:00",1781612081205,897.248,"2026-06-16T20:14:53.431+08:00",1781612093431,900.050,"2026-06-16T20:14:56.233+08:00",1781612096233,2.802,901.842,"2026-06-16T20:14:58.025+08:00",1781612098025,16.820,440.451
"A037","G1G1",461.391,"2026-06-16T20:07:37.574+08:00",1781611657574,"T005","03","希腊陶具","B","EXP1","",-1,"",872.692,"2026-06-16T20:14:28.875+08:00",1781612068875,872.692,"2026-06-16T20:14:28.875+08:00",1781612068875,882.678,"2026-06-16T20:14:38.861+08:00",1781612078861,-1.000,"",-1,1,2,"这件展品是什么材质？",-1,"NotAnswered","NotAnswered",0,"A","陶器",0,902.344,"2026-06-16T20:14:58.527+08:00",1781612098527,902.344,"2026-06-16T20:14:58.527+08:00",1781612098527,903.095,"2026-06-16T20:14:59.278+08:00",1781612099278,0.751,903.095,"2026-06-16T20:14:59.278+08:00",1781612099278,0.751,441.704
"A037","G1G1",461.391,"2026-06-16T20:07:37.574+08:00",1781611657574,"T005","03","希腊陶具","B","EXP1","",-1,"",872.692,"2026-06-16T20:14:28.875+08:00",1781612068875,872.692,"2026-06-16T20:14:28.875+08:00",1781612068875,882.678,"2026-06-16T20:14:38.861+08:00",1781612078861,-1.000,"",-1,2,2,"它表面的纹样更接近？",-1,"NotAnswered","NotAnswered",2,"C","人物图画",0,902.344,"2026-06-16T20:14:58.527+08:00",1781612098527,903.095,"2026-06-16T20:14:59.278+08:00",1781612099278,903.095,"2026-06-16T20:14:59.278+08:00",1781612099278,0.000,903.095,"2026-06-16T20:14:59.278+08:00",1781612099278,0.751,441.704
