aoi_group_id,aoi_name,shape_id,reference_id,shape_type,x_min,y_min,x_max,y_max,center_x,center_y,radius,participant,trial_id,condition,phase,time_start,time_end,time_start_event,time_end_event,priority,enabled,rel_start_ms,rel_end_ms,ue_time_start_sec,ue_time_end_sec,viewport_width,viewport_height,source_component,projection_valid,is_clamped,time_mode,session_start_world_sec,session_rel_start_ms,session_rel_end_ms,recording_active,recording_start_world_sec,recording_start_unix_ms,recording_file,video_time_start_ms,video_time_end_ms,time_ms,unix_start_ms,unix_end_ms,bjt_start,bjt_end,loading_start_world_sec,experiment_code,aoi_scope,target_content_index,target_display_index,slot_permutation
"b_preview_panel","B条件预览面板","T003_b_preview_panel_0001","video_relative_to_recording_start",rectangle,801,0,1173,470,,,,"B001","T003","B",loading,,,,,1,TRUE,0.000,50.000,144.839188,144.889191,1914,1040,"world_widget_card_size_box_geometry",1,1,"video_relative_to_screen_recording_start",22.706890,122132.297,122182.297,1,22.706890,"1781424186121","../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/B001_v2_20260614_160306_screen.mkv",122132.297,122182.297,122157.297,"1781424308252","1781424308302","2026-06-14T16:05:08.252+08:00","2026-06-14T16:05:08.302+08:00",144.839188,EXP1,"b_preview",-1,-1,
"b_progress_bar","B条件进度条区域","T003_b_progress_bar_0002","video_relative_to_recording_start",rectangle,828,432,1142,446,,,,"B001","T003","B",loading,,,,,1,TRUE,0.000,50.000,144.839188,144.889191,1914,1040,"world_widget_loading_progress_bar_geometry",1,0,"video_relative_to_screen_recording_start",22.706890,122132.297,122182.297,1,22.706890,"1781424186121","../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/B001_v2_20260614_160306_screen.mkv",122132.297,122182.297,122157.297,"1781424308252","1781424308302","2026-06-14T16:05:08.252+08:00","2026-06-14T16:05:08.302+08:00",144.839188,EXP1,"b_progress_bar",-1,-1,
"b_preview_panel","B条件预览面板","T003_b_preview_panel_0003","video_relative_to_recording_start",rectangle,801,0,1173,470,,,,"B001","T003","B",loading,,,,,1,TRUE,50.000,100.000,144.889191,144.939194,1914,1040,"world_widget_card_size_box_geometry",1,1,"video_relative_to_screen_recording_start",22.706890,122182.297,122232.297,1,22.706890,"1781424186121","../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/B001_v2_20260614_160306_screen.mkv",122182.297,122232.297,122207.297,"1781424308302","1781424308352","2026-06-14T16:05:08.302+08:00","2026-06-14T16:05:08.352+08:00",144.839188,EXP1,"b_preview",-1,-1,
"b_progress_bar","B条件进度条区域","T003_b_progress_bar_0004","video_relative_to_recording_start",rectangle,828,432,1142,446,,,,"B001","T003","B",loading,,,,,1,TRUE,50.000,100.000,144.889191,144.939194,1914,1040,"world_widget_loading_progress_bar_geometry",1,0,"video_relative_to_screen_recording_start",22.706890,122182.297,122232.297,1,22.706890,"1781424186121","../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/B001_v2_20260614_160306_screen.mkv",122182.297,122232.297,122207.297,"1781424308302","1781424308352","2026-06-14T16:05:08.302+08:00","2026-06-14T16:05:08.352+08:00",144.839188,EXP1,"b_progress_bar",-1,-1,
"b_preview_panel","B条件预览面板","T003_b_preview_panel_0005","video_relative_to_recording_start",rectangle,801,0,1173,470,,,,"B001","T003","B",loading,,,,,1,TRUE,100.000,150.000,144.939194,144.989182,1914,1040,"world_widget_card_size_box_geometry",1,1,"video_relative_to_screen_recording_start",22.706890,122232.297,122282.289,1,22.706890,"1781424186121","../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/B001_v2_20260614_160306_screen.mkv",122232.297,122282.289,122257.297,"1781424308352","1781424308402","2026-06-14T16:05:08.352+08:00","2026-06-14T16:05:08.402+08:00",144.839188,EXP1,"b_preview",-1,-1,
"b_progress_bar","B条件进度条区域","T003_b_progress_bar_0006","video_relative_to_recording_start",rectangle,828,432,1142,446,,,,"B001","T003","B",loading,,,,,1,TRUE,100.000,150.000,144.939194,144.989182,1914,1040,"world_widget_loading_progress_bar_geometry",1,0,"video_relative_to_screen_recording_start",22.706890,122232.297,122282.289,1,22.706890,"1781424186121","../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/B001_v2_20260614_160306_screen.mkv",122232.297,122282.289,122257.297,"1781424308352","1781424308402","2026-06-14T16:05:08.352+08:00","2026-06-14T16:05:08.402+08:00",144.839188,EXP1,"b_progress_bar",-1,-1,
"b_preview_panel","B条件预览面板","T003_b_preview_panel_0007","video_relative_to_recording_start",rectangle,801,0,1173,470,,,,"B001","T003","B",loading,,,,,1,TRUE,150.000,200.000,144.989182,145.039185,1914,1040,"world_widget_card_size_box_geometry",1,1,"video_relative_to_screen_recording_start",22.706890,122282.289,122332.289,1,22.706890,"1781424186121","../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/B001_v2_20260614_160306_screen.mkv",122282.289,122332.289,122307.289,"1781424308402","1781424308452","2026-06-14T16:05:08.402+08:00","2026-06-14T16:05:08.452+08:00",144.839188,EXP1,"b_preview",-1,-1,
"b_progress_bar","B条件进度条区域","T003_b_progress_bar_0008","video_relative_to_recording_start",rectangle,828,432,1142,446,,,,"B001","T003","B",loading,,,,,1,TRUE,150.000,200.000,144.989182,145.039185,1914,1040,"world_widget_loading_progress_bar_geometry",1,0,"video_relative_to_screen_recording_start",22.706890,122282.289,122332.289,1,22.706890,"1781424186121","../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/B001_v2_20260614_160306_screen.mkv",122282.289,122332.289,122307.289,"1781424308402","1781424308452","2026-06-14T16:05:08.402+08:00","2026-06-14T16:05:08.452+08:00",144.839188,EXP1,"b_progress_bar",-1,-1,
"b_preview_panel","B条件预览面板","T003_b_preview_panel_0009","video_relative_to_recording_start",rectangle,801,0,1173,470,,,,"B001","T003","B",loading,,,,,1,TRUE,200.000,250.000,145.039185,145.089188,1914,1040,"world_widget_card_size_box_geometry",1,1,"video_relative_to_screen_recording_start",22.706890,122332.289,122382.297,1,22.706890,"1781424186121","../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/B001_v2_20260614_160306_screen.mkv",122332.289,122382.297,122357.297,"1781424308452","1781424308502","2026-06-14T16:05:08.452+08:00","2026-06-14T16:05:08.502+08:00",144.839188,EXP1,"b_preview",-1,-1,
"b_progress_bar","B条件进度条区域","T003_b_progress_bar_0010","video_relative_to_recording_start",rectangle,828,432,1142,446,,,,"B001","T003","B",loading,,,,,1,TRUE,200.000,250.000,145.039185,145.089188,1914,1040,"world_widget_loading_progress_bar_geometry",1,0,"video_relative_to_screen_recording_start",22.706890,122332.289,122382.297,1,22.706890,"1781424186121","../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/B001_v2_20260614_160306_screen.mkv",122332.289,122382.297,122357.297,"1781424308452","1781424308502","2026-06-14T16:05:08.452+08:00","2026-06-14T16:05:08.502+08:00",144.839188,EXP1,"b_progress_bar",-1,-1,
