ParticipantID,ParticipantNote,SessionStartTime,SessionStartTimeBJT,SessionStartUnixMs,TrialID,ExhibitID,ExhibitName,LoadingCondition,Experiment,Experiment1LatinGroup,Experiment1SequenceIndex,Experiment1SequenceLabel,LoadingInteractTime,LoadingInteractTimeBJT,LoadingInteractUnixMs,LoadingStartTime,LoadingStartTimeBJT,LoadingStartUnixMs,LoadingCompleteTime,LoadingCompleteTimeBJT,LoadingCompleteUnixMs,ProgressiveUsablePointTime,ProgressiveUsablePointTimeBJT,ProgressiveUsablePointUnixMs,QuestionIndex,TotalQuestions,QuestionText,SelectedOptionIndex,SelectedOptionLabel,SelectedOptionText,CorrectOptionIndex,CorrectOptionLabel,CorrectOptionText,IsCorrect,ViewerEnterTime,ViewerEnterTimeBJT,ViewerEnterUnixMs,QuestionStartTime,QuestionStartTimeBJT,QuestionStartUnixMs,QuestionSubmitTime,QuestionSubmitTimeBJT,QuestionSubmitUnixMs,QuestionDuration,ViewerExitTime,ViewerExitTimeBJT,ViewerExitUnixMs,TrialTotalDuration,ParticipantTotalDuration
"B001","G2G2",22.707,"2026-06-14T16:03:06.120+08:00",1781424186120,"T001","Ex1_TEST","测试展品","A","EXP1","NA",-1,"NA",30.079,"2026-06-14T16:03:13.492+08:00",1781424193492,30.079,"2026-06-14T16:03:13.492+08:00",1781424193492,32.063,"2026-06-14T16:03:15.476+08:00",1781424195476,-1.000,"",-1,1,2,"这件展品是什么材质？",0,"A","陶器",-1,"NotScored","NotScored",-1,33.097,"2026-06-14T16:03:16.510+08:00",1781424196510,33.097,"2026-06-14T16:03:16.510+08:00",1781424196510,41.661,"2026-06-14T16:03:25.074+08:00",1781424205074,8.564,43.883,"2026-06-14T16:03:27.296+08:00",1781424207296,10.787,21.176
"B001","G2G2",22.707,"2026-06-14T16:03:06.120+08:00",1781424186120,"T001","Ex1_TEST","测试展品","A","EXP1","NA",-1,"NA",30.079,"2026-06-14T16:03:13.492+08:00",1781424193492,30.079,"2026-06-14T16:03:13.492+08:00",1781424193492,32.063,"2026-06-14T16:03:15.476+08:00",1781424195476,-1.000,"",-1,2,2,"它表面的纹样更接近？",3,"D","文字",-1,"NotScored","NotScored",-1,33.097,"2026-06-14T16:03:16.510+08:00",1781424196510,41.661,"2026-06-14T16:03:25.074+08:00",1781424205074,43.517,"2026-06-14T16:03:26.930+08:00",1781424206930,1.856,43.883,"2026-06-14T16:03:27.296+08:00",1781424207296,10.787,21.176
"B001","G2G2",22.707,"2026-06-14T16:03:06.120+08:00",1781424186120,"T002","01","半岛香炉","A_PLUS","EXP1","G2",1,"G2_T01",48.488,"2026-06-14T16:03:31.902+08:00",1781424211902,48.488,"2026-06-14T16:03:31.902+08:00",1781424211902,58.480,"2026-06-14T16:03:41.894+08:00",1781424221894,-1.000,"",-1,1,2,"这件展品是什么材质？",1,"B","金属件",1,"B","金属件",1,59.914,"2026-06-14T16:03:43.327+08:00",1781424223327,59.914,"2026-06-14T16:03:43.327+08:00",1781424223327,62.321,"2026-06-14T16:03:45.734+08:00",1781424225734,2.407,73.929,"2026-06-14T16:03:57.342+08:00",1781424237342,14.014,51.222
"B001","G2G2",22.707,"2026-06-14T16:03:06.120+08:00",1781424186120,"T002","01","半岛香炉","A_PLUS","EXP1","G2",1,"G2_T01",48.488,"2026-06-14T16:03:31.902+08:00",1781424211902,48.488,"2026-06-14T16:03:31.902+08:00",1781424211902,58.480,"2026-06-14T16:03:41.894+08:00",1781424221894,-1.000,"",-1,2,2,"它表面的纹样更接近？",0,"A","动植物纹样",1,"B","几何纹样",0,59.914,"2026-06-14T16:03:43.327+08:00",1781424223327,62.321,"2026-06-14T16:03:45.734+08:00",1781424225734,73.462,"2026-06-14T16:03:56.875+08:00",1781424236875,11.141,73.929,"2026-06-14T16:03:57.342+08:00",1781424237342,14.014,51.222
"B001","G2G2",22.707,"2026-06-14T16:03:06.120+08:00",1781424186120,"T003","02","中国青铜器","B","EXP1","G2",2,"G2_T02",144.839,"2026-06-14T16:05:08.252+08:00",1781424308252,144.839,"2026-06-14T16:05:08.252+08:00",1781424308252,154.831,"2026-06-14T16:05:18.244+08:00",1781424318244,-1.000,"",-1,1,2,"这件展品是什么材质？",1,"B","金属件",1,"B","金属件",1,155.765,"2026-06-14T16:05:19.178+08:00",1781424319178,155.765,"2026-06-14T16:05:19.178+08:00",1781424319178,158.480,"2026-06-14T16:05:21.893+08:00",1781424321893,2.716,169.073,"2026-06-14T16:05:32.487+08:00",1781424332487,13.309,146.367
"B001","G2G2",22.707,"2026-06-14T16:03:06.120+08:00",1781424186120,"T003","02","中国青铜器","B","EXP1","G2",2,"G2_T02",144.839,"2026-06-14T16:05:08.252+08:00",1781424308252,144.839,"2026-06-14T16:05:08.252+08:00",1781424308252,154.831,"2026-06-14T16:05:18.244+08:00",1781424318244,-1.000,"",-1,2,2,"它表面的纹样更接近？",1,"B","几何纹样",1,"B","几何纹样",1,155.765,"2026-06-14T16:05:19.178+08:00",1781424319178,158.480,"2026-06-14T16:05:21.893+08:00",1781424321893,168.252,"2026-06-14T16:05:31.666+08:00",1781424331666,9.772,169.073,"2026-06-14T16:05:32.487+08:00",1781424332487,13.309,146.367
"B001","G2G2",22.707,"2026-06-14T16:03:06.120+08:00",1781424186120,"T004","03","希腊陶具","C_MINUS","EXP1","G2",3,"G2_T03",204.837,"2026-06-14T16:06:08.250+08:00",1781424368250,204.837,"2026-06-14T16:06:08.250+08:00",1781424368250,214.829,"2026-06-14T16:06:18.242+08:00",1781424378242,210.822,"2026-06-14T16:06:14.235+08:00",1781424374235,1,2,"这件展品是什么材质？",0,"A","陶器",0,"A","陶器",1,204.837,"2026-06-14T16:06:08.250+08:00",1781424368250,210.822,"2026-06-14T16:06:14.235+08:00",1781424374235,214.846,"2026-06-14T16:06:18.259+08:00",1781424378259,4.024,220.846,"2026-06-14T16:06:24.259+08:00",1781424384259,16.009,198.139
"B001","G2G2",22.707,"2026-06-14T16:03:06.120+08:00",1781424186120,"T004","03","希腊陶具","C_MINUS","EXP1","G2",3,"G2_T03",204.837,"2026-06-14T16:06:08.250+08:00",1781424368250,204.837,"2026-06-14T16:06:08.250+08:00",1781424368250,214.829,"2026-06-14T16:06:18.242+08:00",1781424378242,210.822,"2026-06-14T16:06:14.235+08:00",1781424374235,2,2,"它表面的纹样更接近？",2,"C","人物图画",2,"C","人物图画",1,204.837,"2026-06-14T16:06:08.250+08:00",1781424368250,214.846,"2026-06-14T16:06:18.259+08:00",1781424378259,219.678,"2026-06-14T16:06:23.091+08:00",1781424383091,4.832,220.846,"2026-06-14T16:06:24.259+08:00",1781424384259,16.009,198.139
"B001","G2G2",22.707,"2026-06-14T16:03:06.120+08:00",1781424186120,"T005","04","中国花瓶","C","EXP1","G2",4,"G2_T04",258.524,"2026-06-14T16:07:01.937+08:00",1781424421937,258.524,"2026-06-14T16:07:01.937+08:00",1781424421937,268.518,"2026-06-14T16:07:11.931+08:00",1781424431931,264.511,"2026-06-14T16:07:07.924+08:00",1781424427924,1,2,"这件展品是什么材质？",2,"C","瓷器",2,"C","瓷器",1,258.524,"2026-06-14T16:07:01.937+08:00",1781424421937,264.511,"2026-06-14T16:07:07.924+08:00",1781424427924,266.853,"2026-06-14T16:07:10.266+08:00",1781424430266,2.343,274.543,"2026-06-14T16:07:17.956+08:00",1781424437956,16.019,251.837
"B001","G2G2",22.707,"2026-06-14T16:03:06.120+08:00",1781424186120,"T005","04","中国花瓶","C","EXP1","G2",4,"G2_T04",258.524,"2026-06-14T16:07:01.937+08:00",1781424421937,258.524,"2026-06-14T16:07:01.937+08:00",1781424421937,268.518,"2026-06-14T16:07:11.931+08:00",1781424431931,264.511,"2026-06-14T16:07:07.924+08:00",1781424427924,2,2,"它表面的纹样更接近？",3,"D","动物纹样",3,"D","动物纹样",1,258.524,"2026-06-14T16:07:01.937+08:00",1781424421937,266.853,"2026-06-14T16:07:10.266+08:00",1781424430266,273.603,"2026-06-14T16:07:17.016+08:00",1781424437016,6.749,274.543,"2026-06-14T16:07:17.956+08:00",1781424437956,16.019,251.837
