ParticipantID,ParticipantNote,Experiment,TrialID,Event,EventTime,EventTimeBJT,EventUnixMs,Condition,SpatialContinuity,ProgressiveAvailability,SequenceGroup,SequenceIndex,TargetIndex,TargetLabel,TargetContentIndex,TargetDisplayIndex,SlotPermutation,Stage,ObjectStages,Progress,TrialStartTime,TrialStartTimeBJT,TrialStartUnixMs,LoadingCompleteTime,LoadingCompleteTimeBJT,LoadingCompleteUnixMs,Stage1StartTime,Stage1StartTimeBJT,Stage1StartUnixMs,Stage2StartTime,Stage2StartTimeBJT,Stage2StartUnixMs,Stage3StartTime,Stage3StartTimeBJT,Stage3StartUnixMs,ProgressiveUsableTime,ProgressiveUsableTimeBJT,ProgressiveUsableUnixMs,ObjectStageChangeTime,ObjectStageChangeTimeBJT,ObjectStageChangeUnixMs,ObjectStageChangeObjectIndex,ObjectStagePreviousStage,ObjectStageNewStage,PreJudgeTime,PreJudgeTimeBJT,PreJudgeUnixMs,PreJudgeIndex,PreJudgeLabel,PreJudgeContentIndex,PreJudgeCorrect,PreJudgeConfidence,PendingSelectionTime,PendingSelectionTimeBJT,PendingSelectionUnixMs,PendingSelectionIndex,PendingSelectionLabel,PendingSelectionContentIndex,PendingSelectionChangeCount,SubmitTime,SubmitTimeBJT,SubmitUnixMs,SubmitSelectionIndex,SubmitSelectionLabel,SubmitSelectionContentIndex,SubmitCorrect
"B001","G2G2","exp02","Exp2_001","trial_start",380.490753,"2026-06-14T16:09:03.903+08:00","1781424543904","E2_FIXED_PROGRESSIVE",0,1,2,1,3,"左脸",1,3,"1:3|2:4|3:1|4:2",0,"1:0|2:0|3:0|4:0",0.000000,380.490753,"2026-06-14T16:09:03.903+08:00","1781424543904",,"","",,"","",,"","",,"","",,"","",,"","",,,,,"","",,"",,,,,"","",,"",,,,"","",,"",,
"B001","G2G2","exp02","Exp2_001","object_stage_changed",384.485077,"2026-06-14T16:09:07.898+08:00","1781424547898","E2_FIXED_PROGRESSIVE",0,1,2,1,3,"左脸",1,3,"1:3|2:4|3:1|4:2",0,"1:1|2:0|3:0|4:0",0.334250,380.490753,"2026-06-14T16:09:03.903+08:00","1781424543904",,"","",,"","",,"","",,"","",,"","",384.485077,"2026-06-14T16:09:07.898+08:00","1781424547898",1,0,1,,"","",,"",,,,,"","",,"",,,,"","",,"",,
"B001","G2G2","exp02","Exp2_001","stage_1_start",384.485077,"2026-06-14T16:09:07.898+08:00","1781424547898","E2_FIXED_PROGRESSIVE",0,1,2,1,3,"左脸",1,3,"1:3|2:4|3:1|4:2",0,"1:1|2:0|3:0|4:0",0.334250,380.490753,"2026-06-14T16:09:03.903+08:00","1781424543904",,"","",384.485077,"2026-06-14T16:09:07.898+08:00","1781424547898",,"","",,"","",,"","",384.485077,"2026-06-14T16:09:07.898+08:00","1781424547898",1,0,1,,"","",,"",,,,,"","",,"",,,,"","",,"",,
"B001","G2G2","exp02","Exp2_001","object_stage_changed",384.485077,"2026-06-14T16:09:07.898+08:00","1781424547898","E2_FIXED_PROGRESSIVE",0,1,2,1,3,"左脸",1,3,"1:3|2:4|3:1|4:2",0,"1:1|2:1|3:0|4:0",0.334250,380.490753,"2026-06-14T16:09:03.903+08:00","1781424543904",,"","",384.485077,"2026-06-14T16:09:07.898+08:00","1781424547898",,"","",,"","",,"","",384.485077,"2026-06-14T16:09:07.898+08:00","1781424547898",2,0,1,,"","",,"",,,,,"","",,"",,,,"","",,"",,
"B001","G2G2","exp02","Exp2_001","object_stage_changed",384.485077,"2026-06-14T16:09:07.898+08:00","1781424547898","E2_FIXED_PROGRESSIVE",0,1,2,1,3,"左脸",1,3,"1:3|2:4|3:1|4:2",0,"1:1|2:1|3:1|4:0",0.334250,380.490753,"2026-06-14T16:09:03.903+08:00","1781424543904",,"","",384.485077,"2026-06-14T16:09:07.898+08:00","1781424547898",,"","",,"","",,"","",384.485077,"2026-06-14T16:09:07.898+08:00","1781424547898",3,0,1,,"","",,"",,,,,"","",,"",,,,"","",,"",,
"B001","G2G2","exp02","Exp2_001","object_stage_changed",384.485077,"2026-06-14T16:09:07.898+08:00","1781424547898","E2_FIXED_PROGRESSIVE",0,1,2,1,3,"左脸",1,3,"1:3|2:4|3:1|4:2",0,"1:1|2:1|3:1|4:1",0.334250,380.490753,"2026-06-14T16:09:03.903+08:00","1781424543904",,"","",384.485077,"2026-06-14T16:09:07.898+08:00","1781424547898",,"","",,"","",,"","",384.485077,"2026-06-14T16:09:07.898+08:00","1781424547898",4,0,1,,"","",,"",,,,,"","",,"",,,,"","",,"",,
"B001","G2G2","exp02","Exp2_001","object_stage_changed",386.477264,"2026-06-14T16:09:09.890+08:00","1781424549890","E2_FIXED_PROGRESSIVE",0,1,2,1,3,"左脸",1,3,"1:3|2:4|3:1|4:2",1,"1:2|2:1|3:1|4:1",0.500267,380.490753,"2026-06-14T16:09:03.903+08:00","1781424543904",,"","",384.485077,"2026-06-14T16:09:07.898+08:00","1781424547898",,"","",,"","",,"","",386.477264,"2026-06-14T16:09:09.890+08:00","1781424549890",1,1,2,,"","",,"",,,,,"","",,"",,,,"","",,"",,
"B001","G2G2","exp02","Exp2_001","stage_2_start",386.477264,"2026-06-14T16:09:09.890+08:00","1781424549890","E2_FIXED_PROGRESSIVE",0,1,2,1,3,"左脸",1,3,"1:3|2:4|3:1|4:2",1,"1:2|2:1|3:1|4:1",0.500267,380.490753,"2026-06-14T16:09:03.903+08:00","1781424543904",,"","",384.485077,"2026-06-14T16:09:07.898+08:00","1781424547898",386.477264,"2026-06-14T16:09:09.890+08:00","1781424549890",,"","",,"","",386.477264,"2026-06-14T16:09:09.890+08:00","1781424549890",1,1,2,,"","",,"",,,,,"","",,"",,,,"","",,"",,
"B001","G2G2","exp02","Exp2_001","object_stage_changed",386.477264,"2026-06-14T16:09:09.890+08:00","1781424549890","E2_FIXED_PROGRESSIVE",0,1,2,1,3,"左脸",1,3,"1:3|2:4|3:1|4:2",1,"1:2|2:2|3:1|4:1",0.500267,380.490753,"2026-06-14T16:09:03.903+08:00","1781424543904",,"","",384.485077,"2026-06-14T16:09:07.898+08:00","1781424547898",386.477264,"2026-06-14T16:09:09.890+08:00","1781424549890",,"","",,"","",386.477264,"2026-06-14T16:09:09.890+08:00","1781424549890",2,1,2,,"","",,"",,,,,"","",,"",,,,"","",,"",,
"B001","G2G2","exp02","Exp2_001","object_stage_changed",386.477264,"2026-06-14T16:09:09.890+08:00","1781424549890","E2_FIXED_PROGRESSIVE",0,1,2,1,3,"左脸",1,3,"1:3|2:4|3:1|4:2",1,"1:2|2:2|3:2|4:1",0.500267,380.490753,"2026-06-14T16:09:03.903+08:00","1781424543904",,"","",384.485077,"2026-06-14T16:09:07.898+08:00","1781424547898",386.477264,"2026-06-14T16:09:09.890+08:00","1781424549890",,"","",,"","",386.477264,"2026-06-14T16:09:09.890+08:00","1781424549890",3,1,2,,"","",,"",,,,,"","",,"",,,,"","",,"",,
"B001","G2G2","exp02","Exp2_001","progressive_usable",386.477264,"2026-06-14T16:09:09.890+08:00","1781424549890","E2_FIXED_PROGRESSIVE",0,1,2,1,3,"左脸",1,3,"1:3|2:4|3:1|4:2",1,"1:2|2:2|3:2|4:1",0.500267,380.490753,"2026-06-14T16:09:03.903+08:00","1781424543904",,"","",384.485077,"2026-06-14T16:09:07.898+08:00","1781424547898",386.477264,"2026-06-14T16:09:09.890+08:00","1781424549890",,"","",386.477264,"2026-06-14T16:09:09.890+08:00","1781424549890",386.477264,"2026-06-14T16:09:09.890+08:00","1781424549890",3,1,2,,"","",,"",,,,,"","",,"",,,,"","",,"",,
"B001","G2G2","exp02","Exp2_001","object_stage_changed",386.477264,"2026-06-14T16:09:09.890+08:00","1781424549890","E2_FIXED_PROGRESSIVE",0,1,2,1,3,"左脸",1,3,"1:3|2:4|3:1|4:2",1,"1:2|2:2|3:2|4:2",0.500267,380.490753,"2026-06-14T16:09:03.903+08:00","1781424543904",,"","",384.485077,"2026-06-14T16:09:07.898+08:00","1781424547898",386.477264,"2026-06-14T16:09:09.890+08:00","1781424549890",,"","",386.477264,"2026-06-14T16:09:09.890+08:00","1781424549890",386.477264,"2026-06-14T16:09:09.890+08:00","1781424549890",4,1,2,,"","",,"",,,,,"","",,"",,,,"","",,"",,
"B001","G2G2","exp02","Exp2_001","prejudge",390.763916,"2026-06-14T16:09:14.177+08:00","1781424554177","E2_FIXED_PROGRESSIVE",0,1,2,1,3,"左脸",1,3,"1:3|2:4|3:1|4:2",2,"1:2|2:2|3:2|4:2",0.856096,380.490753,"2026-06-14T16:09:03.903+08:00","1781424543904",,"","",384.485077,"2026-06-14T16:09:07.898+08:00","1781424547898",386.477264,"2026-06-14T16:09:09.890+08:00","1781424549890",,"","",386.477264,"2026-06-14T16:09:09.890+08:00","1781424549890",386.477264,"2026-06-14T16:09:09.890+08:00","1781424549890",4,1,2,390.763916,"2026-06-14T16:09:14.177+08:00","1781424554177",3,"左脸",1,1,,,"","",,"",,,,"","",,"",,
"B001","G2G2","exp02","Exp2_001","object_stage_changed",392.486237,"2026-06-14T16:09:15.899+08:00","1781424555899","E2_FIXED_PROGRESSIVE",0,1,2,1,3,"左脸",1,3,"1:3|2:4|3:1|4:2",2,"1:3|2:2|3:2|4:2",1.000000,380.490753,"2026-06-14T16:09:03.903+08:00","1781424543904",,"","",384.485077,"2026-06-14T16:09:07.898+08:00","1781424547898",386.477264,"2026-06-14T16:09:09.890+08:00","1781424549890",,"","",386.477264,"2026-06-14T16:09:09.890+08:00","1781424549890",392.486237,"2026-06-14T16:09:15.899+08:00","1781424555899",1,2,3,390.763916,"2026-06-14T16:09:14.177+08:00","1781424554177",3,"左脸",1,1,,,"","",,"",,,,"","",,"",,
"B001","G2G2","exp02","Exp2_001","stage_3_start",392.486237,"2026-06-14T16:09:15.899+08:00","1781424555899","E2_FIXED_PROGRESSIVE",0,1,2,1,3,"左脸",1,3,"1:3|2:4|3:1|4:2",2,"1:3|2:2|3:2|4:2",1.000000,380.490753,"2026-06-14T16:09:03.903+08:00","1781424543904",,"","",384.485077,"2026-06-14T16:09:07.898+08:00","1781424547898",386.477264,"2026-06-14T16:09:09.890+08:00","1781424549890",392.486237,"2026-06-14T16:09:15.899+08:00","1781424555899",386.477264,"2026-06-14T16:09:09.890+08:00","1781424549890",392.486237,"2026-06-14T16:09:15.899+08:00","1781424555899",1,2,3,390.763916,"2026-06-14T16:09:14.177+08:00","1781424554177",3,"左脸",1,1,,,"","",,"",,,,"","",,"",,
"B001","G2G2","exp02","Exp2_001","object_stage_changed",392.486237,"2026-06-14T16:09:15.899+08:00","1781424555899","E2_FIXED_PROGRESSIVE",0,1,2,1,3,"左脸",1,3,"1:3|2:4|3:1|4:2",2,"1:3|2:3|3:2|4:2",1.000000,380.490753,"2026-06-14T16:09:03.903+08:00","1781424543904",,"","",384.485077,"2026-06-14T16:09:07.898+08:00","1781424547898",386.477264,"2026-06-14T16:09:09.890+08:00","1781424549890",392.486237,"2026-06-14T16:09:15.899+08:00","1781424555899",386.477264,"2026-06-14T16:09:09.890+08:00","1781424549890",392.486237,"2026-06-14T16:09:15.899+08:00","1781424555899",2,2,3,390.763916,"2026-06-14T16:09:14.177+08:00","1781424554177",3,"左脸",1,1,,,"","",,"",,,,"","",,"",,
"B001","G2G2","exp02","Exp2_001","object_stage_changed",392.486237,"2026-06-14T16:09:15.899+08:00","1781424555899","E2_FIXED_PROGRESSIVE",0,1,2,1,3,"左脸",1,3,"1:3|2:4|3:1|4:2",2,"1:3|2:3|3:3|4:2",1.000000,380.490753,"2026-06-14T16:09:03.903+08:00","1781424543904",,"","",384.485077,"2026-06-14T16:09:07.898+08:00","1781424547898",386.477264,"2026-06-14T16:09:09.890+08:00","1781424549890",392.486237,"2026-06-14T16:09:15.899+08:00","1781424555899",386.477264,"2026-06-14T16:09:09.890+08:00","1781424549890",392.486237,"2026-06-14T16:09:15.899+08:00","1781424555899",3,2,3,390.763916,"2026-06-14T16:09:14.177+08:00","1781424554177",3,"左脸",1,1,,,"","",,"",,,,"","",,"",,
"B001","G2G2","exp02","Exp2_001","object_stage_changed",392.486237,"2026-06-14T16:09:15.899+08:00","1781424555899","E2_FIXED_PROGRESSIVE",0,1,2,1,3,"左脸",1,3,"1:3|2:4|3:1|4:2",2,"1:3|2:3|3:3|4:3",1.000000,380.490753,"2026-06-14T16:09:03.903+08:00","1781424543904",,"","",384.485077,"2026-06-14T16:09:07.898+08:00","1781424547898",386.477264,"2026-06-14T16:09:09.890+08:00","1781424549890",392.486237,"2026-06-14T16:09:15.899+08:00","1781424555899",386.477264,"2026-06-14T16:09:09.890+08:00","1781424549890",392.486237,"2026-06-14T16:09:15.899+08:00","1781424555899",4,2,3,390.763916,"2026-06-14T16:09:14.177+08:00","1781424554177",3,"左脸",1,1,,,"","",,"",,,,"","",,"",,
"B001","G2G2","exp02","Exp2_001","loading_complete",392.486237,"2026-06-14T16:09:15.899+08:00","1781424555899","E2_FIXED_PROGRESSIVE",0,1,2,1,3,"左脸",1,3,"1:3|2:4|3:1|4:2",3,"1:3|2:3|3:3|4:3",1.000000,380.490753,"2026-06-14T16:09:03.903+08:00","1781424543904",392.486237,"2026-06-14T16:09:15.899+08:00","1781424555899",384.485077,"2026-06-14T16:09:07.898+08:00","1781424547898",386.477264,"2026-06-14T16:09:09.890+08:00","1781424549890",392.486237,"2026-06-14T16:09:15.899+08:00","1781424555899",386.477264,"2026-06-14T16:09:09.890+08:00","1781424549890",392.486237,"2026-06-14T16:09:15.899+08:00","1781424555899",4,2,3,390.763916,"2026-06-14T16:09:14.177+08:00","1781424554177",3,"左脸",1,1,,,"","",,"",,,,"","",,"",,
"B001","G2G2","exp02","Exp2_001","pending_selection",394.293213,"2026-06-14T16:09:17.706+08:00","1781424557706","E2_FIXED_PROGRESSIVE",0,1,2,1,3,"左脸",1,3,"1:3|2:4|3:1|4:2",3,"1:3|2:3|3:3|4:3",1.000000,380.490753,"2026-06-14T16:09:03.903+08:00","1781424543904",392.486237,"2026-06-14T16:09:15.899+08:00","1781424555899",384.485077,"2026-06-14T16:09:07.898+08:00","1781424547898",386.477264,"2026-06-14T16:09:09.890+08:00","1781424549890",392.486237,"2026-06-14T16:09:15.899+08:00","1781424555899",386.477264,"2026-06-14T16:09:09.890+08:00","1781424549890",392.486237,"2026-06-14T16:09:15.899+08:00","1781424555899",4,2,3,390.763916,"2026-06-14T16:09:14.177+08:00","1781424554177",3,"左脸",1,1,,394.293213,"2026-06-14T16:09:17.706+08:00","1781424557706",3,"左脸",1,1,,"","",,"",,
"B001","G2G2","exp02","Exp2_001","submit_selection",396.125275,"2026-06-14T16:09:19.538+08:00","1781424559538","E2_FIXED_PROGRESSIVE",0,1,2,1,3,"左脸",1,3,"1:3|2:4|3:1|4:2",3,"1:3|2:3|3:3|4:3",1.000000,380.490753,"2026-06-14T16:09:03.903+08:00","1781424543904",392.486237,"2026-06-14T16:09:15.899+08:00","1781424555899",384.485077,"2026-06-14T16:09:07.898+08:00","1781424547898",386.477264,"2026-06-14T16:09:09.890+08:00","1781424549890",392.486237,"2026-06-14T16:09:15.899+08:00","1781424555899",386.477264,"2026-06-14T16:09:09.890+08:00","1781424549890",392.486237,"2026-06-14T16:09:15.899+08:00","1781424555899",4,2,3,390.763916,"2026-06-14T16:09:14.177+08:00","1781424554177",3,"左脸",1,1,,394.293213,"2026-06-14T16:09:17.706+08:00","1781424557706",3,"左脸",1,1,396.125275,"2026-06-14T16:09:19.538+08:00","1781424559538",3,"左脸",1,1
"B001","G2G2","exp02","Exp2_002","trial_start",445.080322,"2026-06-14T16:10:08.493+08:00","1781424608493","E3_SPATIAL_NONPROGRESSIVE",1,0,2,2,1,"脖子",3,1,"1:3|2:1|3:2|4:4",0,"1:0|2:0|3:0|4:0",0.000000,445.080322,"2026-06-14T16:10:08.493+08:00","1781424608493",,"","",,"","",,"","",,"","",,"","",,"","",,,,,"","",,"",,,,,"","",,"",,,,"","",,"",,
"B001","G2G2","exp02","Exp2_002","object_stage_changed",457.075226,"2026-06-14T16:10:20.488+08:00","1781424620488","E3_SPATIAL_NONPROGRESSIVE",1,0,2,2,1,"脖子",3,1,"1:3|2:1|3:2|4:4",3,"1:3|2:0|3:0|4:0",1.000000,445.080322,"2026-06-14T16:10:08.493+08:00","1781424608493",457.075226,"2026-06-14T16:10:20.488+08:00","1781424620488",,"","",,"","",,"","",,"","",457.075226,"2026-06-14T16:10:20.488+08:00","1781424620488",1,0,3,,"","",,"",,,,,"","",,"",,,,"","",,"",,
