aoi_group_id,aoi_name,shape_id,reference_id,shape_type,x_min,y_min,x_max,y_max,center_x,center_y,radius,participant,trial_id,condition,phase,time_start,time_end,time_start_event,time_end_event,priority,enabled,rel_start_ms,rel_end_ms,ue_time_start_sec,ue_time_end_sec,viewport_width,viewport_height,source_component,projection_valid,is_clamped,time_mode,session_start_world_sec,session_rel_start_ms,session_rel_end_ms,recording_active,recording_start_world_sec,recording_start_unix_ms,recording_file,video_time_start_ms,video_time_end_ms,time_ms,unix_start_ms,unix_end_ms,bjt_start,bjt_end,loading_start_world_sec,experiment_code,aoi_scope,target_content_index,target_display_index,slot_permutation
"b_preview_panel","B条件预览面板","T006_b_preview_panel_0001","video_relative_to_recording_start",rectangle,701,0,1116,439,,,,"B004","T006","B",loading,,,,,1,TRUE,0.000,50.000,350.948273,350.998260,1920,1046,"world_widget_card_size_box_geometry",1,1,"video_relative_to_screen_recording_start",104.975739,245972.531,246022.516,1,104.975739,"1781426051105","../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/B004_20260614_163411_screen.mkv",245972.531,246022.516,245997.531,"1781426297077","1781426297127","2026-06-14T16:38:17.076+08:00","2026-06-14T16:38:17.126+08:00",350.948273,EXP1,"b_preview",-1,-1,
"b_progress_bar","B条件进度条区域","T006_b_progress_bar_0002","video_relative_to_recording_start",rectangle,743,397,1085,413,,,,"B004","T006","B",loading,,,,,1,TRUE,0.000,50.000,350.948273,350.998260,1920,1046,"world_widget_loading_progress_bar_geometry",1,0,"video_relative_to_screen_recording_start",104.975739,245972.531,246022.516,1,104.975739,"1781426051105","../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/B004_20260614_163411_screen.mkv",245972.531,246022.516,245997.531,"1781426297077","1781426297127","2026-06-14T16:38:17.076+08:00","2026-06-14T16:38:17.126+08:00",350.948273,EXP1,"b_progress_bar",-1,-1,
"b_preview_panel","B条件预览面板","T006_b_preview_panel_0003","video_relative_to_recording_start",rectangle,701,0,1116,439,,,,"B004","T006","B",loading,,,,,1,TRUE,50.000,100.000,350.998260,351.048279,1920,1046,"world_widget_card_size_box_geometry",1,1,"video_relative_to_screen_recording_start",104.975739,246022.516,246072.547,1,104.975739,"1781426051105","../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/B004_20260614_163411_screen.mkv",246022.516,246072.547,246047.531,"1781426297127","1781426297177","2026-06-14T16:38:17.126+08:00","2026-06-14T16:38:17.176+08:00",350.948273,EXP1,"b_preview",-1,-1,
"b_progress_bar","B条件进度条区域","T006_b_progress_bar_0004","video_relative_to_recording_start",rectangle,743,397,1085,413,,,,"B004","T006","B",loading,,,,,1,TRUE,50.000,100.000,350.998260,351.048279,1920,1046,"world_widget_loading_progress_bar_geometry",1,0,"video_relative_to_screen_recording_start",104.975739,246022.516,246072.547,1,104.975739,"1781426051105","../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/B004_20260614_163411_screen.mkv",246022.516,246072.547,246047.531,"1781426297127","1781426297177","2026-06-14T16:38:17.126+08:00","2026-06-14T16:38:17.176+08:00",350.948273,EXP1,"b_progress_bar",-1,-1,
"b_preview_panel","B条件预览面板","T006_b_preview_panel_0005","video_relative_to_recording_start",rectangle,701,0,1116,439,,,,"B004","T006","B",loading,,,,,1,TRUE,100.000,150.000,351.048279,351.098267,1920,1046,"world_widget_card_size_box_geometry",1,1,"video_relative_to_screen_recording_start",104.975739,246072.547,246122.531,1,104.975739,"1781426051105","../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/B004_20260614_163411_screen.mkv",246072.547,246122.531,246097.531,"1781426297177","1781426297227","2026-06-14T16:38:17.176+08:00","2026-06-14T16:38:17.226+08:00",350.948273,EXP1,"b_preview",-1,-1,
"b_progress_bar","B条件进度条区域","T006_b_progress_bar_0006","video_relative_to_recording_start",rectangle,743,397,1085,413,,,,"B004","T006","B",loading,,,,,1,TRUE,100.000,150.000,351.048279,351.098267,1920,1046,"world_widget_loading_progress_bar_geometry",1,0,"video_relative_to_screen_recording_start",104.975739,246072.547,246122.531,1,104.975739,"1781426051105","../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/B004_20260614_163411_screen.mkv",246072.547,246122.531,246097.531,"1781426297177","1781426297227","2026-06-14T16:38:17.176+08:00","2026-06-14T16:38:17.226+08:00",350.948273,EXP1,"b_progress_bar",-1,-1,
"b_preview_panel","B条件预览面板","T006_b_preview_panel_0007","video_relative_to_recording_start",rectangle,701,0,1116,439,,,,"B004","T006","B",loading,,,,,1,TRUE,150.000,200.000,351.098267,351.148285,1920,1046,"world_widget_card_size_box_geometry",1,1,"video_relative_to_screen_recording_start",104.975739,246122.531,246172.547,1,104.975739,"1781426051105","../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/B004_20260614_163411_screen.mkv",246122.531,246172.547,246147.531,"1781426297227","1781426297277","2026-06-14T16:38:17.226+08:00","2026-06-14T16:38:17.276+08:00",350.948273,EXP1,"b_preview",-1,-1,
"b_progress_bar","B条件进度条区域","T006_b_progress_bar_0008","video_relative_to_recording_start",rectangle,743,397,1085,413,,,,"B004","T006","B",loading,,,,,1,TRUE,150.000,200.000,351.098267,351.148285,1920,1046,"world_widget_loading_progress_bar_geometry",1,0,"video_relative_to_screen_recording_start",104.975739,246122.531,246172.547,1,104.975739,"1781426051105","../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/B004_20260614_163411_screen.mkv",246122.531,246172.547,246147.531,"1781426297227","1781426297277","2026-06-14T16:38:17.226+08:00","2026-06-14T16:38:17.276+08:00",350.948273,EXP1,"b_progress_bar",-1,-1,
"b_preview_panel","B条件预览面板","T006_b_preview_panel_0009","video_relative_to_recording_start",rectangle,701,0,1116,439,,,,"B004","T006","B",loading,,,,,1,TRUE,200.000,250.000,351.148285,351.198273,1920,1046,"world_widget_card_size_box_geometry",1,1,"video_relative_to_screen_recording_start",104.975739,246172.547,246222.531,1,104.975739,"1781426051105","../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/B004_20260614_163411_screen.mkv",246172.547,246222.531,246197.531,"1781426297277","1781426297327","2026-06-14T16:38:17.276+08:00","2026-06-14T16:38:17.326+08:00",350.948273,EXP1,"b_preview",-1,-1,
"b_progress_bar","B条件进度条区域","T006_b_progress_bar_0010","video_relative_to_recording_start",rectangle,743,397,1085,413,,,,"B004","T006","B",loading,,,,,1,TRUE,200.000,250.000,351.148285,351.198273,1920,1046,"world_widget_loading_progress_bar_geometry",1,0,"video_relative_to_screen_recording_start",104.975739,246172.547,246222.531,1,104.975739,"1781426051105","../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/B004_20260614_163411_screen.mkv",246172.547,246222.531,246197.531,"1781426297277","1781426297327","2026-06-14T16:38:17.276+08:00","2026-06-14T16:38:17.326+08:00",350.948273,EXP1,"b_progress_bar",-1,-1,
