ParticipantID,ParticipantNote,SessionStartTime,SessionStartTimeBJT,SessionStartUnixMs,TrialID,ExhibitID,ExhibitName,LoadingCondition,Experiment,Experiment1LatinGroup,Experiment1SequenceIndex,Experiment1SequenceLabel,LoadingInteractTime,LoadingInteractTimeBJT,LoadingInteractUnixMs,LoadingStartTime,LoadingStartTimeBJT,LoadingStartUnixMs,LoadingCompleteTime,LoadingCompleteTimeBJT,LoadingCompleteUnixMs,ProgressiveUsablePointTime,ProgressiveUsablePointTimeBJT,ProgressiveUsablePointUnixMs,QuestionIndex,TotalQuestions,QuestionText,SelectedOptionIndex,SelectedOptionLabel,SelectedOptionText,CorrectOptionIndex,CorrectOptionLabel,CorrectOptionText,IsCorrect,ViewerEnterTime,ViewerEnterTimeBJT,ViewerEnterUnixMs,QuestionStartTime,QuestionStartTimeBJT,QuestionStartUnixMs,QuestionSubmitTime,QuestionSubmitTimeBJT,QuestionSubmitUnixMs,QuestionDuration,ViewerExitTime,ViewerExitTimeBJT,ViewerExitUnixMs,TrialTotalDuration,ParticipantTotalDuration
"610FullTrialTest","CSV写入，MK发送，眼动数据采集，数据整理",385.355,"2026-06-10T21:49:30.071+08:00",1781099370071,"T001","Ex1_TEST","测试展品","A","EXP1","NA",-1,"NA",430.440,"2026-06-10T21:50:15.155+08:00",1781099415155,430.440,"2026-06-10T21:50:15.155+08:00",1781099415155,432.428,"2026-06-10T21:50:17.144+08:00",1781099417144,-1.000,"",-1,1,2,"这件展品是什么材质？",0,"A","陶器",-1,"NotScored","NotScored",-1,433.445,"2026-06-10T21:50:18.160+08:00",1781099418160,433.445,"2026-06-10T21:50:18.160+08:00",1781099418160,441.042,"2026-06-10T21:50:25.757+08:00",1781099425757,7.597,452.044,"2026-06-10T21:50:36.760+08:00",1781099436760,18.600,66.689
"610FullTrialTest","CSV写入，MK发送，眼动数据采集，数据整理",385.355,"2026-06-10T21:49:30.071+08:00",1781099370071,"T001","Ex1_TEST","测试展品","A","EXP1","NA",-1,"NA",430.440,"2026-06-10T21:50:15.155+08:00",1781099415155,430.440,"2026-06-10T21:50:15.155+08:00",1781099415155,432.428,"2026-06-10T21:50:17.144+08:00",1781099417144,-1.000,"",-1,2,2,"它表面的纹样更接近？",2,"C","人物图画",-1,"NotScored","NotScored",-1,433.445,"2026-06-10T21:50:18.160+08:00",1781099418160,441.042,"2026-06-10T21:50:25.757+08:00",1781099425757,451.193,"2026-06-10T21:50:35.909+08:00",1781099435909,10.152,452.044,"2026-06-10T21:50:36.760+08:00",1781099436760,18.600,66.689
"610FullTrialTest","CSV写入，MK发送，眼动数据采集，数据整理",385.355,"2026-06-10T21:49:30.071+08:00",1781099370071,"T002","01","半岛香炉","C_MINUS","EXP1","G4",1,"G4_T01",481.343,"2026-06-10T21:51:06.059+08:00",1781099466059,481.343,"2026-06-10T21:51:06.059+08:00",1781099466059,491.333,"2026-06-10T21:51:16.049+08:00",1781099476049,487.333,"2026-06-10T21:51:12.048+08:00",1781099472048,1,2,"这件展品是什么材质？",1,"B","金属件",1,"B","金属件",1,481.343,"2026-06-10T21:51:06.059+08:00",1781099466059,487.333,"2026-06-10T21:51:12.048+08:00",1781099472048,498.113,"2026-06-10T21:51:22.828+08:00",1781099482828,10.780,505.979,"2026-06-10T21:51:30.695+08:00",1781099490695,24.636,120.624
"610FullTrialTest","CSV写入，MK发送，眼动数据采集，数据整理",385.355,"2026-06-10T21:49:30.071+08:00",1781099370071,"T002","01","半岛香炉","C_MINUS","EXP1","G4",1,"G4_T01",481.343,"2026-06-10T21:51:06.059+08:00",1781099466059,481.343,"2026-06-10T21:51:06.059+08:00",1781099466059,491.333,"2026-06-10T21:51:16.049+08:00",1781099476049,487.333,"2026-06-10T21:51:12.048+08:00",1781099472048,2,2,"它表面的纹样更接近？",0,"A","动植物纹样",1,"B","几何纹样",0,481.343,"2026-06-10T21:51:06.059+08:00",1781099466059,498.113,"2026-06-10T21:51:22.828+08:00",1781099482828,502.162,"2026-06-10T21:51:26.878+08:00",1781099486878,4.050,505.979,"2026-06-10T21:51:30.695+08:00",1781099490695,24.636,120.624
"610FullTrialTest","CSV写入，MK发送，眼动数据采集，数据整理",385.355,"2026-06-10T21:49:30.071+08:00",1781099370071,"T003","02","中国青铜器","C","EXP1","G4",2,"G4_T02",507.479,"2026-06-10T21:51:32.195+08:00",1781099492195,507.479,"2026-06-10T21:51:32.195+08:00",1781099492195,517.467,"2026-06-10T21:51:42.183+08:00",1781099502183,513.467,"2026-06-10T21:51:38.183+08:00",1781099498183,1,2,"这件展品是什么材质？",1,"B","金属件",1,"B","金属件",1,507.479,"2026-06-10T21:51:32.195+08:00",1781099492195,513.467,"2026-06-10T21:51:38.183+08:00",1781099498183,523.503,"2026-06-10T21:51:48.219+08:00",1781099508219,10.036,567.173,"2026-06-10T21:52:31.889+08:00",1781099551889,59.694,181.818
"610FullTrialTest","CSV写入，MK发送，眼动数据采集，数据整理",385.355,"2026-06-10T21:49:30.071+08:00",1781099370071,"T003","02","中国青铜器","C","EXP1","G4",2,"G4_T02",507.479,"2026-06-10T21:51:32.195+08:00",1781099492195,507.479,"2026-06-10T21:51:32.195+08:00",1781099492195,517.467,"2026-06-10T21:51:42.183+08:00",1781099502183,513.467,"2026-06-10T21:51:38.183+08:00",1781099498183,2,2,"它表面的纹样更接近？",1,"B","几何纹样",1,"B","几何纹样",1,507.479,"2026-06-10T21:51:32.195+08:00",1781099492195,523.503,"2026-06-10T21:51:48.219+08:00",1781099508219,564.939,"2026-06-10T21:52:29.655+08:00",1781099549655,41.436,567.173,"2026-06-10T21:52:31.889+08:00",1781099551889,59.694,181.818
"610FullTrialTest","CSV写入，MK发送，眼动数据采集，数据整理",385.355,"2026-06-10T21:49:30.071+08:00",1781099370071,"T004","03","希腊陶具","A","EXP1","G4",3,"G4_T03",568.423,"2026-06-10T21:52:33.139+08:00",1781099553139,568.423,"2026-06-10T21:52:33.139+08:00",1781099553139,578.409,"2026-06-10T21:52:43.124+08:00",1781099563124,-1.000,"",-1,1,2,"这件展品是什么材质？",0,"A","陶器",0,"A","陶器",1,579.742,"2026-06-10T21:52:44.458+08:00",1781099564458,579.742,"2026-06-10T21:52:44.458+08:00",1781099564458,586.161,"2026-06-10T21:52:50.877+08:00",1781099570877,6.419,588.128,"2026-06-10T21:52:52.844+08:00",1781099572844,8.386,202.773
"610FullTrialTest","CSV写入，MK发送，眼动数据采集，数据整理",385.355,"2026-06-10T21:49:30.071+08:00",1781099370071,"T004","03","希腊陶具","A","EXP1","G4",3,"G4_T03",568.423,"2026-06-10T21:52:33.139+08:00",1781099553139,568.423,"2026-06-10T21:52:33.139+08:00",1781099553139,578.409,"2026-06-10T21:52:43.124+08:00",1781099563124,-1.000,"",-1,2,2,"它表面的纹样更接近？",2,"C","人物图画",2,"C","人物图画",1,579.742,"2026-06-10T21:52:44.458+08:00",1781099564458,586.161,"2026-06-10T21:52:50.877+08:00",1781099570877,587.478,"2026-06-10T21:52:52.194+08:00",1781099572194,1.317,588.128,"2026-06-10T21:52:52.844+08:00",1781099572844,8.386,202.773
"610FullTrialTest","CSV写入，MK发送，眼动数据采集，数据整理",385.355,"2026-06-10T21:49:30.071+08:00",1781099370071,"T005","04","中国花瓶","A_PLUS","EXP1","G4",4,"G4_T04",589.079,"2026-06-10T21:52:53.795+08:00",1781099573795,589.079,"2026-06-10T21:52:53.795+08:00",1781099573795,599.072,"2026-06-10T21:53:03.787+08:00",1781099583787,-1.000,"",-1,1,2,"这件展品是什么材质？",2,"C","瓷器",2,"C","瓷器",1,600.588,"2026-06-10T21:53:05.304+08:00",1781099585304,600.588,"2026-06-10T21:53:05.304+08:00",1781099585304,623.712,"2026-06-10T21:53:28.427+08:00",1781099608427,23.124,632.281,"2026-06-10T21:53:36.997+08:00",1781099616997,31.693,246.926
"610FullTrialTest","CSV写入，MK发送，眼动数据采集，数据整理",385.355,"2026-06-10T21:49:30.071+08:00",1781099370071,"T005","04","中国花瓶","A_PLUS","EXP1","G4",4,"G4_T04",589.079,"2026-06-10T21:52:53.795+08:00",1781099573795,589.079,"2026-06-10T21:52:53.795+08:00",1781099573795,599.072,"2026-06-10T21:53:03.787+08:00",1781099583787,-1.000,"",-1,2,2,"它表面的纹样更接近？",3,"D","动物纹样",3,"D","动物纹样",1,600.588,"2026-06-10T21:53:05.304+08:00",1781099585304,623.712,"2026-06-10T21:53:28.427+08:00",1781099608427,631.464,"2026-06-10T21:53:36.180+08:00",1781099616180,7.753,632.281,"2026-06-10T21:53:36.997+08:00",1781099616997,31.693,246.926
