Type,Source,Destination,Success,Note
participant_csv,../../../../../../Project/UE5/Gallery/Saved/ExperimentData/610FullTrialTest_exp01_InspectQuestionResults.csv,../../../../../../Project/UE5/Gallery/Saved/ExperimentData/Participants/610FullTrialTest/CSV/610FullTrialTest_exp01_InspectQuestionResults.csv,1,copied
participant_csv,../../../../../../Project/UE5/Gallery/Saved/ExperimentData/610FullTrialTest_exp02_Experiment2Results.csv,../../../../../../Project/UE5/Gallery/Saved/ExperimentData/Participants/610FullTrialTest/CSV/610FullTrialTest_exp02_Experiment2Results.csv,1,copied
experiment_end_csv_filtered,../../../../../../Project/UE5/Gallery/Saved/ExperimentData/ExperimentEndEvents.csv,../../../../../../Project/UE5/Gallery/Saved/ExperimentData/Participants/610FullTrialTest/CSV/610FullTrialTest_ExperimentEndEvent.csv,1,filtered_rows_1
dynamic_aoi,../../../../../../Project/UE5/Gallery/Saved/EyeTrackingAOI/610FullTrialTest_DynamicAOI.csv,../../../../../../Project/UE5/Gallery/Saved/ExperimentData/Participants/610FullTrialTest/AOI/610FullTrialTest_DynamicAOI.csv,1,copied
formal_edf,../../../../../../Project/UE5/Gallery/Saved/ExperimentData/EDF/FM214601.EDF,../../../../../../Project/UE5/Gallery/Saved/ExperimentData/Participants/610FullTrialTest/EDF/FM214601.EDF,1,copied
latest_edf_fallback,../../../../../../Project/UE5/Gallery/Saved/ExperimentData/EDF/FM214601.EDF,../../../../../../Project/UE5/Gallery/Saved/ExperimentData/Participants/610FullTrialTest/EDF/FM214601.EDF,1,copied
latest_eyelink_marker_log,../../../../../../Project/UE5/Gallery/Saved/ExperimentLogs/EyeLinkMarkers_20260610_213958_880.log,../../../../../../Project/UE5/Gallery/Saved/ExperimentData/Participants/610FullTrialTest/Logs/EyeLinkMarkers_20260610_213958_880.log,1,copied
screen_recording_log,../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/ScreenRecordingLog.csv,../../../../../../Project/UE5/Gallery/Saved/ExperimentData/Participants/610FullTrialTest/Logs/ScreenRecordingLog.csv,1,copied
screen_recording,../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/610FullTrialTest_20260610_214930_screen.mkv,../../../../../../Project/UE5/Gallery/Saved/ExperimentData/Participants/610FullTrialTest/ScreenRecordings/610FullTrialTest_20260610_214930_screen.mkv,1,copied
latest_screen_recording_fallback,../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/610FullTrialTest_20260610_214930_screen.mkv,../../../../../../Project/UE5/Gallery/Saved/ExperimentData/Participants/610FullTrialTest/ScreenRecordings/610FullTrialTest_20260610_214930_screen.mkv,1,copied
